ISLAND,ID,X1990_LC,X1990_CONF,X1990_NOTES,CH1_YR,CH1_PCF,CH1_TYPE,CH1_CONF,CH1_NOTES,CH2_YR,CH2_PCF,CH2_TYPE,CH2_CONF,CH2_NOTES,CH3_YR,CH3_PCF,CH3_TYPE,CH3_CONF,CH3_NOTES,CH4_YR,CH4_PCF,CH4_TYPE,CH4_CONF,CH4_NOTES,CH5_YR,CH5_PCF,CH5_TYPE,CH5_CONF,CH5_NOTES,CH6_YR,CH6_PCF,CH6_TYPE,CH6_CONF,CH6_NOTES,KLHK_LU,FY_CF,SPOT,HIGHRES_GE,USER,AGREE_DISAGREE,CONF_FINAL,CLASS_NOTES,NOTES_FINAL,CHANGE_E_CONF,Editor,DISAG_EDITS,DISAG_NOTES,Checked,D_REVIEW_NOTES,FINAL_LU_UMD,NUM_CHANGE,TRAJECTORY,CLEAR_YR_FIRST,CLEAR_TYPE_FIRST,DEG_YR_FIRST,DEG_TYPE_FIRST
Irian_Jaya,488,Primary intact,H,Sample complete!,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0,NA,NA,NA,Hutan Primer,1995,Yes,none,Anna checked,Agree,H,NA,NA,H,Anna checked,No edits needed,NA,Agree,NA,Primary intact,0,Primary intact,0,NA,0,NA
Irian_Jaya,515,Primary degraded,H,Sample complete!,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0,NA,NA,NA,Hutan Sekunder,1998,Yes,none,Anna checked,Disagree - major,H,NA,NA,H,Anna checked,Edited entry,fire in 1998 but only degraded,Agree,NA,Primary degraded,0,Primary degraded,0,NA,0,NA
Irian_Jaya,519,Primary intact,H,Sample complete!,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0,NA,NA,NA,Hutan Rawa Primer,1990,Yes,none,Anna checked,Disagree - major,H,NA,NA,H,Anna checked,No edits needed,"wetland forest, edge of forest and river",Agree,NA,Primary intact,0,Primary intact,0,NA,0,NA
Irian_Jaya,529,Primary intact,H,NA,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0,NA,NA,NA,Hutan Rawa Primer,1990,Yes,2014,Anna checked,Disagree - major,H,NA,NA,L,Anna checked,Edited entry,wetland forest,Agree,NA,Primary intact,0,Primary intact,0,NA,0,NA
Irian_Jaya,532,Primary intact,H,Sample complete!,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0,NA,NA,NA,Hutan Rawa Primer,1991,Yes,none,Anna checked,Disagree - major,H,NA,NA,H,Anna checked,Edited entry,wetland forest,Not checked,NA,Primary intact,0,Primary intact,0,NA,0,NA
Irian_Jaya,546,Non forest,H,Sample complete!,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0,NA,NA,NA,Belukar Rawa,1990,Yes,2012,Anna checked,Disagree - minor,H,NA,NA,H,Anna checked,No edits needed,"wetland, texture smoother compare texture of forest in below",Agree,NA,Non forest,0,Non forest,0,NA,0,NA
Irian_Jaya,553,Primary intact,H,Sample complete!,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0,NA,NA,NA,Hutan Primer,1991,Yes,2016,Anna checked,Agree,H,NA,NA,H,Anna checked,No edits needed,NA,Agree,NA,Primary intact,0,Primary intact,0,NA,0,NA
Irian_Jaya,561,Non forest,H,Sample complete!,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0,NA,NA,NA,Pertanian Lahan Kering Campur Semak,1990,Yes,2015,Anna checked,Disagree - major,H,Cross-checked using GoggleEarth,NA,H,Anna checked,No edits needed,NA,Agree,NA,Non forest,0,Non forest,0,NA,0,NA
Irian_Jaya,621,Primary intact,H,Sample complete!,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0,NA,NA,NA,Hutan Primer,1995,Yes,none,Anna checked,Agree,H,NA,NA,H,Anna checked,No edits needed,NA,Agree,NA,Primary intact,0,Primary intact,0,NA,0,NA
Irian_Jaya,623,Non forest,H,Sample complete!,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0,NA,NA,NA,Belukar,1995,Yes,none,Anna checked,Disagree - major,H,NA,NA,H,Anna checked,No edits needed,"di igir pegunungan, jenis batuan, tanaman kerdil kurang dari 5 m",Agree,NA,Non forest,0,Non forest,0,NA,0,NA
