Island Group,Person,Entry-1,SampleID ,1990 Landcover,1990 sub-class,First year of cloud-free data,1990 confidence,change event? 1990-2015,change event conf,1990 notes,year of change 1,Prev cloud-free yr 1,change type 1,Confidence change 1,notes change 1,year of change 2,previous cloud-free year 2,change type 2,Confidence change 2,notes change 2,year of change 3,previous cloud-free year 3,change type 3,Confidence change 3,notes change 3,KLHK land cover class,Classification Notes,Transition Summary,AGREE or DISAGREE,Spot image?,High Res GE?,More than 3 change events?,Confidence of final interpreter,User,Final interpreter notes,Diana edited notes,year of change 4,previous cloud-free year 4,change type 4,Confidence change 4,notes change 4,year of change 5,previous cloud-free year 5,change type 5,Confidence change 5,notes change 5,year of change 6,previous cloud-free year 6,change type 6,Confidence change 6,notes change 6
Jawa,Nita,1,2173,Non Forest,NA,1990,High,No,High,,,,,,,,,,,,,,,,,Pertanian Lahan Kering Campur Semak,,  ,Disagree - major,Yes,2015,No,High,Yazid checked,,,,,,,,,,,,,,,,,
Jawa,Nita,1,2174,Non Forest,NA,1994,High,No,High,Sample complete!,,,,,,,,,,,,,,,,Pertanian Lahan Kering,,  ,Agree,Yes,2016,No,High,Yazid checked,,,,,,,,,,,,,,,,,
Jawa,Nita,1,2175,Primary intact,NA,1990,High,No,High,Sample complete!,,,,,,,,,,,,,,,,Hutan Primer,,  ,Disagree - major,Yes,2016,No,High,Yazid checked,,,,,,,,,,,,,,,,,
Jawa,Nita,1,2176,Non Forest,NA,1994,High,No,High,Sample complete!,,,,,,,,,,,,,,,,Pertanian Lahan Kering,,  ,Agree,Yes,2013,No,High,Yazid checked,,,,,,,,,,,,,,,,,
Jawa,Nita,1,2177,Non Forest,NA,1993,High,No,High,Sample complete!,,,,,,,,,,,,,,,,Pertanian Lahan Kering Campur Semak,,  ,Agree,Yes,2017,No,High,Yazid checked,,,,,,,,,,,,,,,,,
Jawa,Nita,1,2178,Non Forest,NA,1994,High,No,High,Sample complete!,,,,,,,,,,,,,,,,Belukar,,  ,Agree,Yes,2016,No,High,Yazid checked,,,,,,,,,,,,,,,,,
Jawa,Nita,1,2179,Non Forest,NA,1994,High,No,High,Sample complete!,,,,,,,,,,,,,,,,Pemukiman,,  ,Agree,Yes,2016,No,High,Yazid checked,,,,,,,,,,,,,,,,,
Jawa,Nita,1,2180,Primary degraded,NA,1994,Low,No,High,no data until 1994,,,,,,,,,,,,,,,,Hutan Sekunder,,  ,Disagree - major,Yes,2014,No,High,Yazid checked,,,,,,,,,,,,,,,,,
Jawa,Nita,1,2181,Non Forest,NA,1996,High,No,High,Sample complete!,,,,,,,,,,,,,,,,Pertanian Lahan Kering Campur Semak,,  ,Agree,Yes,2014,No,High,Yazid checked,trees mis with agriculture ,,,,,,,,,,,,,,,,
Jawa,Nita,1,2182,Non Forest,NA,1990,High,No,High,Sample complete!,,,,,,,,,,,,,,,,Pertanian Lahan Kering,,  ,Agree,Yes,2014,No,High,Yazid checked,sugar cane plantation,,,,,,,,,,,,,,,,
Jawa,Nita,1,2183,Non Forest,NA,1994,High,No,High,Sample complete!,,,,,,,,,,,,,,,,Perkebunan,,  ,Agree,Yes,2015,No,High,Yazid checked,rubber plantation in Jember District,,,,,,,,,,,,,,,,
Jawa,Nita,1,2184,Non Forest,NA,1990,High,No,Low,,,,,,,,,,,,,,,,,Hutan Tanaman,,  ,Disagree - major,Yes,2015,No,High,Yazid checked,,,,,,,,,,,,,,,,,
Jawa,Nita,1,2185,Non Forest,NA,1994,Low,No,Low,Sample complete!,,,,,,,,,,,,,,,,Belukar,,  ,Agree,Yes,2016,No,High,Yazid checked,,,,,,,,,,,,,,,,,
Jawa,Nita,1,2186,Non Forest,NA,1994,High,No,High,Sample complete!,,,,,,,,,,,,,,,,Sawah,,  ,Agree,Yes,2016,No,High,Yazid checked,,,,,,,,,,,,,,,,,
Jawa,Nita,1,2187,Non Forest,NA,1990,High,No,High,Sample complete!,,,,,,,,,,,,,,,,Pertanian Lahan Kering Campur Semak,,  ,Agree,Yes,2017,No,High,Yazid checked,,,,,,,,,,,,,,,,,
Jawa,Nita,1,2188,Non Forest,NA,1992,High,No,High,Sample complete!,,,,,,,,,,,,,,,,Pertanian Lahan Kering Campur Semak,,  ,Agree,Yes,2014,No,High,Yazid checked,,,,,,,,,,,,,,,,,
Jawa,Nita,1,2189,Non Forest,NA,1990,High,No,High,Sample complete!,,,,,,,,,,,,,,,,Pertanian Lahan Kering Campur Semak,,  ,Agree,Yes,2016,No,High,Yazid checked,,,,,,,,,,,,,,,,,
Jawa,Nita,1,2190,Non Forest,NA,1993,High,No,High,no data until 1992,,,,,,,,,,,,,,,,Hutan Tanaman,,  ,Agree,Yes,2017,No,High,Yazid checked,,,,,,,,,,,,,,,,,
Jawa,Nita,1,2191,Non Forest,NA,1994,High,No,High,Sample complete!,,,,,,,,,,,,,,,,Pertanian Lahan Kering,,  ,Agree,Yes,2017,No,High,Yazid checked,,,,,,,,,,,,,,,,,
Jawa,Nita,1,2192,Non Forest,NA,1994,High,No,High,Sample complete!,,,,,,,,,,,,,,,,Lahan Terbuka,,  ,Agree,Yes,2016,No,High,Yazid checked,,,,,,,,,,,,,,,,,
Jawa,Nita,1,2193,Non Forest,NA,1990,High,No,High,Sample complete!,,,,,,,,,,,,,,,,Pemukiman,,  ,Agree,Yes,2017,No,High,Yazid checked,,,,,,,,,,,,,,,,,
Jawa,Nita,1,2194,Non Forest,NA,1992,High,No,High,Sample complete!,,,,,,,,,,,,,,,,Sawah,,  ,Agree,Yes,2014,No,High,Yazid checked,,,,,,,,,,,,,,,,,
Jawa,Nita,1,2195,Primary intact,NA,1994,High,Yes,High,,,,,,,,,,,,,,,,,Hutan Primer,,  ,Disagree - minor,Yes,2017,No,High,Yazid checked,,,,,,,,,,,,,,,,,
Jawa,Nita,1,2196,Primary intact,NA,1990,High,No,High,Sample complete!,,,,,,,,,,,,,,,,Hutan Primer,,  ,Agree,Yes,2016,No,High,Yazid checked,,,,,,,,,,,,,,,,,
Jawa,Nita,1,2197,Non Forest,NA,1994,High,No,High,Sample complete!,,,,,,,,,,,,,,,,Pertanian Lahan Kering Campur Semak,,  ,Agree,Yes,2016,No,High,Yazid checked,,,,,,,,,,,,,,,,,
Jawa,Nita,1,2198,Non Forest,NA,1990,High,No,High,Sample complete!,,,,,,,,,,,,,,,,Pertanian Lahan Kering Campur Semak,,  ,Agree,Yes,2017,No,High,Yazid checked,,,,,,,,,,,,,,,,,
Jawa,Nita,1,2199,Non Forest,NA,1990,High,No,High,Sample complete!,,,,,,,,,,,,,,,,Pertanian Lahan Kering Campur Semak,,  ,Agree,Yes,2014,No,High,Yazid checked,,,,,,,,,,,,,,,,,
Jawa,Nita,1,2200,Primary degraded,NA,1996,High,No,High,Sample complete!,,,,,,,,,,,,,,,,Hutan Sekunder,,  ,Disagree - major,Yes,2017,No,High,Yazid checked,,,,,,,,,,,,,,,,,
Jawa,Nita,1,2201,Non Forest,NA,1990,High,No,High,Sample complete!,,,,,,,,,,,,,,,,Pertanian Lahan Kering Campur Semak,,  ,Agree,Yes,2017,No,High,Yazid checked,,,,,,,,,,,,,,,,,
Jawa,Nita,1,2202,Non Forest,NA,1990,High,No,High,Sample complete!,,,,,,,,,,,,,,,,Sawah,,  ,Agree,Yes,2017,No,High,Yazid checked,,,,,,,,,,,,,,,,,
Jawa,Nita,1,2203,Non Forest,NA,1990,High,No,High,Sample complete!,,,,,,,,,,,,,,,,Pertanian Lahan Kering,,  ,Agree,Yes,2015,No,High,Yazid checked,,,,,,,,,,,,,,,,,
Jawa,Nita,1,2204,Non Forest,NA,1995,High,No,High,Sample complete!,,,,,,,,,,,,,,,,Belukar,,  ,Agree,Yes,2014,No,High,Yazid checked,,,,,,,,,,,,,,,,,
Jawa,Nita,1,2205,Non Forest,NA,1994,High,No,High,Sample complete!,,,,,,,,,,,,,,,,Pertanian Lahan Kering Campur Semak,,  ,Agree,Yes,2016,No,High,Yazid checked,,,,,,,,,,,,,,,,,
Jawa,Nita,1,2206,Non Forest,NA,1994,High,No,High,Sample complete!,,,,,,,,,,,,,,,,Hutan Tanaman,,  ,Agree,Yes,2016,No,High,Yazid checked,,,,,,,,,,,,,,,,,
