Island Group,Quality note,Quality,,Sample ID,1990 Landcover,1990 sub-class,First year of cloud-free data,1990 confidence,change event? 1990-2015,change event conf,1990 notes,year of change 1,Prev cloud-free yr 1,change type 1,Confidence change 1,notes change 1,year of change 2,previous cloud-free year 2,change type 2,Confidence change 2,notes change 2,year of change 3,previous cloud-free year 3,change type 3,Confidence change 3,notes change 3,LULC SPOT6/7,Classification Notes,Transition Summary,AGREE or DISAGREE,SPOT image?,High Res GE?,More than 3 change events?,Confidence of final interpreter,User,Final interpreter notes,Diana edited notes,year of change 4,previous cloud-free year 4,change type 4,Confidence change 4,notes change 4,year of change 5,previous cloud-free year 5,change type 5,Confidence change 5,notes change 5,year of change 6,previous cloud-free year 6,change type 6,Confidence change 6,notes change 6,
Kalimantan,,5,,2875,Primary intact,NA,1991,High,Yes,High,,1998,1997,Degraded - Selective Logging,High,,,,,,,,,,,,Hutan Sekunder,,Degraded - Selective Logging  ,Agree,Yes,none,No,Low,Yazid checked,"1990 primary intact, change in 1998 and could be in 1997, this area replanted with other trees. This area is forest plantation consession of PT. Buana Inti Energi",,,,,,,,,,,,,,,,,
Kalimantan,,5,,2876,Primary degraded,NA,1990,High,Yes,High,,1995,1994,Cleared - Abandoned/transitional,High,,2007,2006,Cleared - Abandoned/transitional,High,,2009,2008,Cleared - Palm estates,High,,Perkebunan,,Cleared - Abandoned/transitional Cleared - Abandoned/transitional Cleared - Palm estates,Disagree - minor,Yes,2011,No,High,Yazid checked,,,,,,,,,,,,,,,,,,
Kalimantan,,9,,2877,Primary degraded,NA,1990,High,No,High,,,,,,,,,,,,,,,,,Hutan Rawa Sekunder,,  ,Disagree - minor,Yes,none,No,High,Yazid checked,this area already degraded by selective logging in 1990 and then abandoned,,,,,,,,,,,,,,,,,
Kalimantan,,6,,2878,Primary degraded,NA,1990,Low,Yes,High,,1999,1996,Cleared - Roading,High,,,,,,,,,,,,Belukar,,Cleared - Roading  ,Disagree - major,Yes,none,No,High,Yazid checked,,,,,,,,,,,,,,,,,,
Kalimantan,,9,,2879,Primary intact,NA,1991,High,No,High,,,,,,,,,,,,,,,,,Hutan Primer,,  ,Agree,Yes,none,No,High,Yazid checked,,,,,,,,,,,,,,,,,,
Kalimantan,,9,,2880,Non Forest,NA,1990,High,No,High,,,,,,,,,,,,,,,,,Belukar Rawa,,  ,Disagree - major,Yes,2010,No,High,Yazid checked,,,,,,,,,,,,,,,,,,
Kalimantan,,3,,2881,Primary intact,NA,1990,High,Yes,High,,1999,1997,Degraded - Selective Logging,High,,2011,2010,Cleared - Palm estates,High,,,,,,,Perkebunan,,Degraded - Selective Logging Cleared - Palm estates ,Disagree - major,Yes,none,No,High,Yazid checked,,,,,,,,,,,,,,,,,,
Kalimantan,,6,,2882,Primary degraded,NA,1990,High,Yes,High,,2004,2003,Cleared - Rubber,High,,,,,,,,,,,,Pertanian Lahan Kering Campur Semak,,Cleared - Rubber  ,Disagree - major,No,none,No,High,Yazid checked,,,,,,,,,,,,,,,,,,
Kalimantan,,9,,2883,Non Forest,NA,1990,High,No,High,,,,,,,,,,,,,,,,,Belukar Rawa,,  ,Disagree - minor,Yes,none,No,High,Yazid checked,,,,,,,,,,,,,,,,,,
Kalimantan,,9,,2884,Non Forest,NA,1990,High,No,High,,,,,,,,,,,,,,,,,Belukar,,  ,Disagree - major,No,2003,No,High,Yazid checked,,,,,,,,,,,,,,,,,,
