Island Group,Person,Entry-1,SampleID,1990 Landcover,1990 sub-class,First year of cloud-free data,1990 confidence,change event? 1990-2015,change event conf,1990 notes,year of change 1,Prev cloud-free yr 1,change type 1,Confidence change 1,notes change 1,year of change 2,previous cloud-free year 2,change type 2,Confidence change 2,notes change 2,year of change 3,previous cloud-free year 3,change type 3,Confidence change 3,notes change 3,LULC SPOT6/7,Classification Notes,Transition Summary,AGREE or DISAGREE,Spot image?,High Res GE?,More than 3 change events?,Confidence of final interpreter,User,Final interpreter notes,Diana edited notes,year of change 4,previous cloud-free year 4,change type 4,Confidence change 4,notes change 4,year of change 5,previous cloud-free year 5,change type 5,Confidence change 5,notes change 5,year of change 6,previous cloud-free year 6,change type 6,Confidence change 6,notes change 6
Nusa Tenggara,Zuzu,1,6116,Non Forest,NA,1990,High,No,High,Sample complete!,,,,,,,,,,,,,,,,Hutan Tanaman,,  ,Agree,Yes,2017,No,High,Yazid checked,,,,,,,,,,,,,,,,,
Nusa Tenggara,Zuzu,1,6117,Non Forest,NA,1990,High,Yes,High,,,,,,,,,,,,,,,,,Belukar,,  ,Disagree - major,Yes,2013,No,High,Yazid checked,,,,,,,,,,,,,,,,,
Nusa Tenggara,Zuzu,1,6118,Non Forest,NA,1990,High,No,High,Sample complete!,,,,,,,,,,,,,,,,Belukar,,  ,Agree,Yes,2016,No,High,Yazid checked,,,,,,,,,,,,,,,,,
Nusa Tenggara,Zuzu,1,6119,Non Forest,NA,1990,High,No,High,Sample complete!,,,,,,,,,,,,,,,,Savana,,  ,Agree,Yes,2015,No,High,Yazid checked,,,,,,,,,,,,,,,,,
Nusa Tenggara,Zuzu,1,6120,Non Forest,NA,1990,High,No,High,Sample complete!,,,,,,,,,,,,,,,,Pertanian Lahan Kering Campur Semak,,  ,Agree,Yes,2016,No,High,Yazid checked,,,,,,,,,,,,,,,,,
Nusa Tenggara,Zuzu,1,6121,Non Forest,NA,1990,High,No,High,Sample complete!,,,,,,,,,,,,,,,,Lahan Terbuka,,  ,Agree,Yes,2012,No,High,Yazid checked,,,,,,,,,,,,,,,,,
Nusa Tenggara,Zuzu,1,6122,Non Forest,NA,1990,High,No,High,Sample complete!,,,,,,,,,,,,,,,,Savana,,  ,Agree,Yes,2015,No,High,Yazid checked,,,,,,,,,,,,,,,,,
Nusa Tenggara,Zuzu,1,6123,Non Forest,NA,1990,High,No,High,Sample complete!,,,,,,,,,,,,,,,,Sawah,,  ,Agree,Yes,2017,No,High,Yazid checked,,,,,,,,,,,,,,,,,
Nusa Tenggara,Zuzu,1,6124,Primary intact,NA,1990,High,No,High,Sample complete!,,,,,,,,,,,,,,,,Hutan Primer,,  ,Agree,Yes,2012,No,High,Yazid checked,,,,,,,,,,,,,,,,,
Nusa Tenggara,Zuzu,1,6125,Primary intact,NA,1990,High,No,High,Sample complete!,,,,,,,,,,,,,,,,Hutan Primer,,  ,Agree,Yes,2013,No,High,Yazid checked,,,,,,,,,,,,,,,,,
Nusa Tenggara,Zuzu,1,6126,Primary degraded,NA,1990,High,No,High,Sample complete!,,,,,,,,,,,,,,,,Hutan Sekunder,,  ,Disagree - major,Yes,2017,No,High,Yazid checked,,,,,,,,,,,,,,,,,
Nusa Tenggara,Zuzu,1,6127,Non Forest,NA,1990,High,No,High,Sample complete!,,,,,,,,,,,,,,,,Belukar,,  ,Agree,Yes,2016,No,High,Yazid checked,,,,,,,,,,,,,,,,,
Nusa Tenggara,Zuzu,1,6128,Primary intact,NA,1990,High,No,High,Sample complete!,,,,,,,,,,,,,,,,Hutan Primer,,  ,Agree,Yes,2015,No,High,Yazid checked,,,,,,,,,,,,,,,,,
Nusa Tenggara,Zuzu,1,6129,Non Forest,NA,1990,High,No,High,Sample complete!,,,,,,,,,,,,,,,,Lahan Terbuka,,  ,Agree,Yes,2016,No,High,Yazid checked,,,,,,,,,,,,,,,,,
Nusa Tenggara,Zuzu,1,6130,Primary degraded,NA,1990,High,No,High,Sample complete!,,,,,,,,,,,,,,,,Hutan Sekunder,,  ,Disagree - major,Yes,2017,No,High,Yazid checked,,,,,,,,,,,,,,,,,
Nusa Tenggara,Zuzu,1,6131,Non Forest,NA,1990,High,No,High,Sample complete!,,,,,,,,,,,,,,,,Belukar,,  ,Agree,Yes,2013,No,High,Yazid checked,,,,,,,,,,,,,,,,,
Nusa Tenggara,Zuzu,1,6132,Primary intact,NA,1990,High,No,High,Sample complete!,,,,,,,,,,,,,,,,Hutan Primer,,  ,Agree,Yes,2014,No,High,Yazid checked,,,,,,,,,,,,,,,,,
Nusa Tenggara,Zuzu,1,6133,Non Forest,NA,1990,High,No,High,Sample complete!,,,,,,,,,,,,,,,,Hutan Tanaman,,  ,Agree,Yes,2017,No,High,Yazid checked,,,,,,,,,,,,,,,,,
