Island Group,Check,Quality note,Quality,Sample ID QC,Sample ID,SampleID (from user join),1990 Landcover,1990 sub-class,First year of cloud free data,1990 confidence,change event? 1990-2015,change event conf,1990 notes,year of change 1,Prev cloud-free yr 1,change type 1,Confidence change 1,notes change 1,year of change 2,previous cloud-free year 2,change type 2,Confidence change 2,notes change 2,year of change 3,previous cloud-free year 3,change type 3,Confidence change 3,notes change 3,LULC SPOT6/7,Classification Notes,Transition Summary,AGREE or DISAGREE,Spot image?,High Res GE?,More than 3 change events?,Confidence of final interpreter,User,Final interpreter notes,Diana edited notes,year of change 4,previous cloud-free year 4,change type 4,Confidence change 4,notes change 4,year of change 5,previous cloud-free year 5,change type 5,Confidence change 5,notes change 5,year of change 6,previous cloud-free year 6,change type 6,Confidence change 6,notes change 6,,,
Sulawesi,Same sample ID,OK,9,6497,6497,6497,Primary intact,NA,1990,High,No,High,Sample complete!,,,,,,,,,,,,,,,,Hutan Primer,,  ,Agree,Yes,none,No,High,Yazid checked,,,,,,,,,,,,,,,,,,,,
Sulawesi,Same sample ID,OK,9,6498,6498,6498,Primary degraded,NA,1990,High,Yes,High,,1993,1992,Cleared - Small-holder land use,High,,2015,2014,Cleared - Small-holder land use,High,,,,,,,Pertanian Lahan Kering Campur Semak,,Cleared - Small-holder land use Cleared - Small-holder land use ,Agree,Yes,2014,No,High,Yazid checked,,,,,,,,,,,,,,,,,,,,
Sulawesi,Same sample ID,OK,9,6499,6499,6499,Primary intact,NA,1997,High,Yes,High,,2014,2013,Degraded - Nearby clearing,High,,2015,2014,Cleared - Small-holder land use,High,,,,,,,Pertanian Lahan Kering Campur Semak,,Degraded - Nearby clearing Cleared - Small-holder land use ,Disagree - minor,Yes,2016,No,High,Yazid checked,,,,,,,,,,,,,,,,,,,,
Sulawesi,Same sample ID,OK,9,6500,6500,6500,Primary intact,NA,1995,High,Yes,High,,1998,1997,Degraded - Selective Logging,High,,2005,2004,Degraded - Nearby clearing,High,,,,,,,Hutan Sekunder,,Degraded - Selective Logging Degraded - Nearby clearing ,Disagree - minor,Yes,none,No,High,Yazid checked,,,,,,,,,,,,,,,,,,,,
Sulawesi,Same sample ID,OK,9,6501,6501,6501,Primary intact,NA,1990,High,No,High,Sample complete!,,,,,,,,,,,,,,,,Hutan Primer,,  ,Agree,Yes,2014,No,High,Yazid checked,,,,,,,,,,,,,,,,,,,,
Sulawesi,Same sample ID,OK,9,6502,6502,6502,Primary intact,NA,1995,High,No,High,Sample complete!,,,,,,,,,,,,,,,,Hutan Primer,,  ,Agree,Yes,2011,No,High,Yazid checked,,,,,,,,,,,,,,,,,,,,
Sulawesi,Same sample ID,OK,9,6503,6503,6503,Non Forest,NA,1994,High,No,High,Sample complete!,,,,,,,,,,,,,,,,Pemukiman,"image not available until 1993, but in google earth since 1990 has non forest",  ,Agree,Yes,2016,No,High,Yazid checked,no image 1990-1993,,,,,,,,,,,,,,,,,,,
Sulawesi,Same sample ID,OK,9,6504,6504,6504,Primary intact,NA,1991,High,Yes,High,,2005,2004,Degraded - Nearby clearing,High,,2012,2011,Degraded - Nearby clearing,High,,2015,2014,Cleared - Small-holder land use,Low,,Belukar,,Degraded - Nearby clearing Degraded - Nearby clearing Cleared - Small-holder land use,Disagree - major,Yes,2010,No,High,Yazid checked,no image in 1990,,,,,,,,,,,,,,,,,,,
Sulawesi,Same sample ID,OK,9,6505,6505,6505,Primary intact,NA,1995,High,Yes,High,,2014,2013,Degraded - Selective Logging,High,,2015,2014,Cleared - Small-holder land use,High,,,,,,,Pertanian Lahan Kering Campur Semak,,Degraded - Selective Logging Cleared - Small-holder land use ,Disagree - major,Yes,2015,No,High,Yazid checked,,,,,,,,,,,,,,,,,,,,
Sulawesi,Same sample ID,OK,9,6506,6506,6506,Primary intact,NA,1994,High,Yes,High,,1998,1997,Cleared - Abandoned/transitional,High,,2007,2006,Cleared - Abandoned/transitional,High,,2010,2009,Cleared - Palm estates,High,,Perkebunan,,Cleared - Abandoned/transitional Cleared - Abandoned/transitional Cleared - Palm estates,Disagree - major,Yes,2009,No,High,Yazid checked,"no image in 1998, but i can predicted that clearing was in 1998",,,,,,,,,,,,,,,,,,,
