Island Group,Check,SPOT data is cloudy; LULC from GE 2014,Quality,Sample ID QC,Sample ID,SampleID (from user join),1990 Landcover,1990 sub-class,First year of cloud free data,1990 confidence,change event? 1990-2015,change event conf,1990 notes,year of change 1,Prev cloud-free yr 1,change type 1,Confidence change 1,notes change 1,year of change 2,previous cloud-free year 2,change type 2,Confidence change 2,notes change 2,year of change 3,previous cloud-free year 3,change type 3,Confidence change 3,notes change 3,LULC SPOT6/7,Classification Notes,Transition Summary,AGREE or DISAGREE,Spot image?,High Res GE?,More than 3 change events?,Confidence of final intepreter,User,Final interpreter notes,Diana edited notes,year of change 4,previous cloud-free year 4,change type 4,Confidence change 4,notes change 4,year of change 5,previous cloud-free year 5,change type 5,Confidence change 5,notes change 5,year of change 6,previous cloud-free year 6,change type 6,Confidence change 6,notes change 6,,,
Sumatera,Same sample ID,"Inconsistence, Overentry",4,7484,7484,7484,Primary intact,NA,1990,High,Yes,High,,1992,1990,Degraded - Selective Logging,High,,1996,1995,Cleared - Tree plantations,High,,2003,2002,Cleared - Tree plantations,High,lebih dari 3 perubahan,Hutan Tanaman,,Degraded - Selective Logging Cleared - Tree plantations Cleared - Tree plantations,Disagree - minor,Yes,none,Yes,High,Diana checked,,,2008,2007,Cleared - Tree plantations,High,,2014,2013,Cleared - Tree plantations,High,,,,,,,,,
Sumatera,Same sample ID,OK,9,7485,7485,7485,Primary intact,NA,1990,High,Yes,High,,2005,2004,Cleared - Abandoned/transitional,High,,2016,2015,Cleared - Small-holder land use,High,,,,,,,Pertanian Lahan Kering Campur Semak,,Cleared - Abandoned/transitional Cleared - Small-holder land use ,Disagree - minor,Yes,2015,No,High,Diana checked,,,,,,,,,,,,,,,,,,,,
Sumatera,Same sample ID,OK,9,7486,7486,7486,Primary degraded,Forest fragment,1991,High,No,High,,,,,,,,,,,,,,,,,Hutan Sekunder,,  ,Agree,Yes,none,No,High,Diana checked,,,,,,,,,,,,,,,,,,,,
Sumatera,Same sample ID,OK,9,7487,7487,7487,Non Forest,NA,1993,High,No,High,,,,,,,,,,,,,,,,,Pertanian Lahan Kering Campur Semak,,  ,Agree,No,2015,No,High,Diana checked,,,,,,,,,,,,,,,,,,,,
Sumatera,Same sample ID,OK,9,7488,7488,7488,Primary intact,NA,1990,High,No,High,Sample complete!,,,,,,,,,,,,,,,,Hutan Primer,,  ,Agree,No,2016,No,High,Diana checked,,,,,,,,,,,,,,,,,,,,
Sumatera,Same sample ID,OK,9,7489,7489,7489,Primary intact,NA,1992,High,No,High,Sample complete!,2010,2009,Cleared - Tree plantations,High,,2014,2013,Cleared - Tree plantations,High,,,,,,,Hutan Tanaman,,Cleared - Tree plantations Cleared - Tree plantations ,Disagree - minor,Yes,2015,No,High,Diana checked,,,,,,,,,,,,,,,,,,,,
Sumatera,Same sample ID,OK,9,7490,7490,7490,Non Forest,NA,1990,High,No,High,,,,,,,,,,,,,,,,,Pertanian Lahan Kering Campur Semak,,  ,Disagree - major,Yes,2014,No,High,Diana checked,,,,,,,,,,,,,,,,,,,,
Sumatera,Same sample ID,Inconsistence,6,7491,7491,7491,Primary intact,NA,1990,High,Yes,High,,1998,1997,Degraded - Selective Logging,High,,2001,2000,Degraded - Nearby clearing,High,,2007,2006,Cleared - Small-holder land use,Low,,Pertanian Lahan Kering Campur Semak,,Degraded - Selective Logging Degraded - Nearby clearing Cleared - Small-holder land use,Disagree - minor,Yes,2016,No,Low,Diana checked,,,,,,,,,,,,,,,,,,,,
Sumatera,Same sample ID,OK,9,7492,7492,7492,Non Forest,NA,1990,High,No,High,Sample complete!,,,,,,,,,,,,,,,,Pertanian Lahan Kering,,  ,Agree,Yes,2015,No,High,Diana checked,,,,,,,,,,,,,,,,,,,,
Sumatera,Same sample ID,OK,9,7493,7493,7493,Primary intact,NA,1991,High,Yes,High,,1997,1996,Degraded - Nearby clearing,High,,1999,1998,Cleared - Abandoned/transitional,High,,2006,2005,Cleared - Palm estates,High,,Perkebunan,,Degraded - Nearby clearing Cleared - Abandoned/transitional Cleared - Palm estates,Disagree - minor,Yes,2013,No,High,Diana checked,,,,,,,,,,,,,,,,,,,,
Sumatera,Same sample ID,OK,9,7494,7494,7494,Non Forest,NA,1990,High,No,High,Sample complete!,,,,,,,,,,,,,,,,Pertanian Lahan Kering Campur Semak,,  ,Agree,Yes,2015,No,High,Diana checked,,,,,,,,,,,,,,,,,,,,
Sumatera,Same sample ID,OK,9,7495,7495,7495,Primary intact,NA,1990,High,Yes,High,,2006,2005,Cleared - Abandoned/transitional,High,,,,,,,,,,,,Belukar Rawa,,Cleared - Abandoned/transitional  ,Agree,Yes,2015,No,High,Diana checked,,,,,,,,,,,,,,,,,,,,
Sumatera,Same sample ID,Inconsistence,6,7496,7496,7496,Primary intact,NA,1990,High,Yes,High,,2000,1999,Degraded - Selective Logging,High,,2001,2000,Cleared - Small-holder land use,High,,,,,,,Pertanian Lahan Kering Campur Semak,,Degraded - Selective Logging Cleared - Small-holder land use ,Disagree - minor,Yes,2015,No,High,Diana checked,,,,,,,,,,,,,,,,,,,,
Sumatera,Same sample ID,OK,9,7497,7497,7497,Primary degraded,NA,1990,High,Yes,High,,1992,1990,Cleared - Small-holder land use,High,,2005,2004,Cleared - Small-holder land use,Low,,,,,,,Pertanian Lahan Kering Campur Semak,,Cleared - Small-holder land use Cleared - Small-holder land use ,Disagree - major,Yes,2015,No,Low,Diana checked,,Diana edited,,,,,,,,,,,,,,,,,,
Sumatera,Same sample ID,OK,9,7498,7498,7498,Non Forest,NA,1990,High,No,High,Sample complete!,,,,,,,,,,,,,,,,Pertanian Lahan Kering Campur Semak,,  ,Agree,Yes,2015,No,High,Diana checked,,,,,,,,,,,,,,,,,,,,
Sumatera,Same sample ID,OK,9,7499,7499,7499,Primary intact,NA,1990,High,No,High,Sample complete!,,,,,,,,,,,,,,,,Hutan Primer,,  ,Agree,Yes,none,No,High,Diana checked,,,,,,,,,,,,,,,,,,,,
Sumatera,Same sample ID,OK,9,7500,7500,7500,Primary degraded,NA,1990,High,Yes,High,,2000,1999,Degraded - Nearby clearing,High,,2001,2000,Cleared - Small-holder land use,Low,,,,,,,Pertanian Lahan Kering Campur Semak,,Degraded - Nearby clearing Cleared - Small-holder land use ,Disagree - minor,Yes,2015,No,High,Diana checked,,,,,,,,,,,,,,,,,,,,
Sumatera,Same sample ID,Over-entry,3,7501,7501,7501,Non Forest,NA,1990,Low,No,High,Sample complete!,,,,,,,,,,,,,,,,Perkebunan,,  ,Disagree - minor,Yes,2015,No,High,Diana checked,,,,,,,,,,,,,,,,,,,,
Sumatera,Same sample ID,OK,9,7502,7502,7502,Non Forest,NA,1990,High,No,High,Sample complete!,,,,,,,,,,,,,,,,Pertanian Lahan Kering,,  ,Disagree - minor,Yes,2016,No,High,Diana checked,,,,,,,,,,,,,,,,,,,,
Sumatera,Same sample ID,OK,9,7503,7503,7503,Primary intact,NA,1990,High,No,High,Sample complete!,,,,,,,,,,,,,,,,Hutan Primer,,  ,Agree,Yes,2016,No,High,Diana checked,,,,,,,,,,,,,,,,,,,,
Sumatera,Same sample ID,OK,9,7504,7504,7504,Non Forest,NA,1990,High,No,High,Sample complete!,,,,,,,,,,,,,,,,Pertanian Lahan Kering Campur Semak,,  ,Agree,Yes,2015,No,High,Diana checked,,,,,,,,,,,,,,,,,,,,
Sumatera,Same sample ID,OK,9,7505,7505,7505,Primary degraded,NA,1990,Low,No,High,,1992,1991,Cleared - Abandoned/transitional,High,,2004,2003,Cleared - Palm estates,High,,,,,,,Perkebunan,,Cleared - Abandoned/transitional Cleared - Palm estates ,Disagree - major,Yes,2014,No,Low,Diana checked,,,,,,,,,,,,,,,,,,,,
Sumatera,Same sample ID,OK,9,7506,7506,7506,Primary intact,NA,1990,High,No,High,Sample complete!,,,,,,,,,,,,,,,,Hutan Primer,,  ,Agree,Yes,2014,No,High,Diana checked,,,,,,,,,,,,,,,,,,,,
Sumatera,Same sample ID,Inconsistence,6,7507,7507,7507,Primary intact,NA,1990,High,Yes,High,,1993,1991,Degraded - Nearby clearing,High,,2011,2010,Degraded - Nearby clearing,High,,,,,,,Hutan Sekunder,,Degraded - Nearby clearing Degraded - Nearby clearing ,Disagree - major,Yes,none,No,High,Diana checked,,Diana edited,,,,,,,,,,,,,,,,,,
Sumatera,Same sample ID,OK,9,7508,7508,7508,Primary intact,NA,1990,High,Yes,High,Sample complete!,1999,1998,Cleared - Palm estates,High,,,,,,,,,,,,Perkebunan,,Cleared - Palm estates  ,Disagree - minor,Yes,none,No,High,Diana checked,,,,,,,,,,,,,,,,,,,,
Sumatera,Same sample ID,OK,9,7509,7509,7509,Non Forest,NA,1990,High,No,High,Sample complete!,,,,,,,,,,,,,,,,Perkebunan,,  ,Agree,Yes,2015,No,High,Diana checked,,,,,,,,,,,,,,,,,,,,
Sumatera,Same sample ID,OK,9,7510,7510,7510,Primary degraded,NA,1996,High,Yes,High,,2008,2007,Degraded - Nearby clearing,High,,2012,2010,Cleared - Palm estates,Low,,,,,,,Perkebunan,,Degraded - Nearby clearing Cleared - Palm estates ,Disagree - minor,Yes,2015,No,Low,Diana checked,,,,,,,,,,,,,,,,,,,,
Sumatera,Same sample ID,OK,9,7511,7511,7511,Primary intact,NA,1990,High,No,High,Sample complete!,,,,,,,,,,,,,,,,Hutan Primer,,  ,Agree,Yes,2016,No,High,Diana checked,,,,,,,,,,,,,,,,,,,,
Sumatera,Same sample ID,OK,9,7512,7512,7512,Primary intact,NA,1990,High,No,High,Sample complete!,,,,,,,,,,,,,,,,Hutan Mangrove,,  ,Agree,No,2015,No,High,Diana checked,,,,,,,,,,,,,,,,,,,,
Sumatera,Same sample ID,OK,9,7513,7513,7513,Non Forest,NA,1993,High,No,High,Sample complete!,,,,,,,,,,,,,,,,Perkebunan,,  ,Agree,Yes,none,No,High,Diana checked,,,,,,,,,,,,,,,,,,,,
Sumatera,Same sample ID,OK,9,7514,7514,7514,Non Forest,NA,1993,High,No,High,Sample complete!,,,,,,,,,,,,,,,,Perkebunan,,  ,Agree,Yes,none,No,High,Diana checked,,,,,,,,,,,,,,,,,,,,
Sumatera,Same sample ID,OK,9,7515,7515,7515,Non Forest,NA,1990,High,No,High,Sample complete!,,,,,,,,,,,,,,,,Perkebunan,,  ,Disagree - minor,Yes,2015,No,High,Diana checked,,,,,,,,,,,,,,,,,,,,
Sumatera,Same sample ID,OK,9,7516,7516,7516,Primary intact,NA,1990,High,No,High,Sample complete!,,,,,,,,,,,,,,,,Hutan Primer,,  ,Agree,Yes,none,No,High,Diana checked,,,,,,,,,,,,,,,,,,,,
Sumatera,Same sample ID,OK,9,7517,7517,7517,Primary degraded,Forest fragment,1992,High,Yes,High,"Pixel in 1990 and 1991 have cloud cover, first identification in 1992",2016,2015,Degraded - Nearby clearing,High,,,,,,,,,,,,Hutan Sekunder,,Degraded - Nearby clearing  ,Disagree - minor,Yes,2015,No,High,Diana checked,,,,,,,,,,,,,,,,,,,,
Sumatera,Same sample ID,OK,9,7518,7518,7518,Non Forest,NA,1992,High,No,High,"Pixel in 1990 and 1991 have cloud cover, first identification in 1992",,,,,,,,,,,,,,,,Belukar,,  ,Agree,Yes,2015,No,High,Diana checked,,,,,,,,,,,,,,,,,,,,
Sumatera,Same sample ID,Over-entry,3,7519,7519,7519,Primary intact,NA,1991,High,Yes,High,"Pixel in 1990 has cloud cover, first identification in 1991",1996,1995,Cleared - Palm estates,High,,,,,,,,,,,,Perkebunan,Kelapa sawit,Cleared - Palm estates  ,Disagree - major,Yes,2014,No,High,Diana checked,,,,,,,,,,,,,,,,,,,,
Sumatera,Same sample ID,OK,9,7520,7520,7520,Non Forest,NA,1991,High,No,Low,"Pixel in 1990 has cloud cover, first identification in 1991",,,,,,,,,,,,,,,,Pemukiman,,  ,Agree,Yes,2014,No,High,Diana checked,,,,,,,,,,,,,,,,,,,,
Sumatera,Same sample ID,"Inconsistence, Overentry",4,7521,7521,7521,Primary intact,NA,1992,High,Yes,High,"Pixel di tahun 1990 & 1991 berwarna hitam, identifikasi pertama di tahun 1992",1999,1995,Degraded - Selective Logging,High,,2004,2002,Cleared - Tree plantations,High,,2011,2010,Cleared - Tree plantations,High,,Hutan Tanaman,HTI,Degraded - Selective Logging Cleared - Tree plantations Cleared - Tree plantations,Disagree - major,Yes,2015,No,High,Diana checked,,,,,,,,,,,,,,,,,,,,
Sumatera,Same sample ID,Over-entry,3,7522,7522,7522,Primary degraded,NA,1993,Low,Yes,High,"pixel 1990-1992 berwarna hitam, identifikasi pertama di tahun 1993",1998,1997,Cleared - Small-holder land use,High,,2013,2012,Cleared - Small-holder land use,High,,,,,,,Pertanian Lahan Kering,,Cleared - Small-holder land use Cleared - Small-holder land use ,Disagree - major,Yes,2015,No,High,Diana checked,,,,,,,,,,,,,,,,,,,,
Sumatera,Same sample ID,"Inconsistence, Overentry",4,7523,7523,7523,Primary intact,NA,1990,High,Yes,High,,1995,1993,Degraded - Nearby clearing,High,,1998,1997,Degraded - Fire,High,,2004,2003,Cleared - Tree plantations,High,"terjadi perubahan juga di tahun 2005, 2007, 2008, 2013, 2015",Hutan Tanaman,HTI,Degraded - Nearby clearing Degraded - Fire Cleared - Tree plantations,Disagree - major,No,2016,Yes,High,Diana checked,,,2007,2006,Cleared - Tree plantations,High,,2013,2012,Cleared - Tree plantations,High,,,,,,,,,
Sumatera,Same sample ID,OK,9,7524,7524,7524,Non Forest,NA,1990,High,No,High,Sample complete!,,,,,,,,,,,,,,,,Pertanian Lahan Kering Campur Semak,,  ,Agree,Yes,2015,No,High,Diana checked,,,,,,,,,,,,,,,,,,,,
Sumatera,Same sample ID,OK,9,7525,7525,7525,Primary intact,NA,1990,High,Yes,Low,,1998,1996,Degraded - Nearby clearing,High,,,,,,,,,,,,Hutan Sekunder,,Degraded - Nearby clearing  ,Disagree - minor,Yes,none,No,High,Diana checked,,,,,,,,,,,,,,,,,,,,
Sumatera,Same sample ID,OK,9,7526,7526,7526,Primary intact,NA,1995,Low,Yes,High,"identifikasi pertama tahun 1995, pixel 1990-1994 berwarna hitam",1998,1997,Degraded - Fire,High,,2007,2006,Degraded - Fire,High,,2016,2015,Degraded - Fire,High,,Hutan Sekunder,,Degraded - Fire Degraded - Fire Degraded - Fire,Disagree - major,Yes,none,No,High,Diana checked,,,,,,,,,,,,,,,,,,,,
Sumatera,Same sample ID,OK,9,7527,7527,7527,Non Forest,NA,1990,High,No,High,Sample complete!,,,,,,,,,,,,,,,,Pertanian Lahan Kering Campur Semak,,  ,Agree,Yes,2016,No,High,Diana checked,,,,,,,,,,,,,,,,,,,,
Sumatera,Same sample ID,Over-entry,3,7528,7528,7528,Primary degraded,Forest fragment,1992,High,Yes,High,"identifikasi pertama tahun 1992, tahun 1990-1991 pixel berwarna hitam",1996,1992,Degraded - Nearby clearing,High,,1998,1997,Cleared - Palm estates,High,,,,,,,Perkebunan,,Degraded - Nearby clearing Cleared - Palm estates ,Disagree - major,Yes,2011,No,High,Diana checked,,,,,,,,,,,,,,,,,,,,
Sumatera,Same sample ID,Inconsistence,6,7529,7529,7529,Non Forest,Forest fragment,1990,High,No,High,,,,,,,,,,,,,,,,,Pertanian Lahan Kering,,  ,Disagree - major,Yes,2016,No,High,Diana checked,,,,,,,,,,,,,,,,,,,,
Sumatera,Same sample ID,Inconsistence,6,7530,7530,7530,Non Forest,NA,1992,High,No,High,"identifikasi pertama di tahun 1992, pixel 1990-1991 berwarna hitam",,,,,,,,,,,,,,,,Perkebunan,,  ,Disagree - major,Yes,2014,No,High,Diana checked,,,,,,,,,,,,,,,,,,,,
Sumatera,Same sample ID,OK,9,7531,7531,7531,Primary intact,NA,1990,High,No,High,Sample complete!,,,,,,,,,,,,,,,,Hutan Primer,,  ,Agree,Yes,2015,No,High,Diana checked,,,,,,,,,,,,,,,,,,,,
Sumatera,Same sample ID,Inconsistence,6,7532,7532,7532,Primary intact,NA,1990,High,Yes,High,,1998,1996,Cleared - Abandoned/transitional,High,,2007,2006,Cleared - Abandoned/transitional,High,,,,,,,Belukar,,Cleared - Abandoned/transitional Cleared - Abandoned/transitional ,Disagree - major,Yes,2015,No,High,Diana checked,,,,,,,,,,,,,,,,,,,,
Sumatera,Same sample ID,OK,9,7533,7533,7533,Primary intact,NA,1990,High,No,High,Sample complete!,,,,,,,,,,,,,,,,Hutan Primer,,  ,Agree,Yes,2014,No,High,Diana checked,,,,,,,,,,,,,,,,,,,,
Sumatera,Same sample ID,Inconsistence,6,7534,7534,7534,Primary degraded,NA,1990,High,Yes,High,,1993,1992,Cleared - Small-holder land use,High,,2007,2006,Cleared - Small-holder land use,Low,,,,,,,Belukar,,Cleared - Small-holder land use Cleared - Small-holder land use ,Disagree - major,Yes,2016,No,Low,Diana checked,,,,,,,,,,,,,,,,,,,,
Sumatera,Same sample ID,OK,9,7535,7535,7535,Primary intact,NA,1990,High,No,High,Sample complete!,,,,,,,,,,,,,,,,Hutan Primer,,  ,Agree,Yes,2016,No,High,Diana checked,,,,,,,,,,,,,,,,,,,,
Sumatera,Same sample ID,OK,9,7536,7536,7536,Non Forest,NA,1992,High,No,Low,Sample complete!,,,,,,,,,,,,,,,,Perkebunan,,  ,Disagree - major,Yes,2015,No,High,Diana checked,,,,,,,,,,,,,,,,,,,,
Sumatera,Same sample ID,Over-entry,3,7537,7537,7537,Non Forest,NA,1991,Low,No,High,"identifikasi pertama tahun 1991, pixel 1990 berwarna hitam",,,,,,,,,,,,,,,,Perkebunan,,  ,Agree,Yes,none,No,High,Diana checked,,,,,,,,,,,,,,,,,,,,
Sumatera,Same sample ID,OK,9,7538,7538,7538,Primary intact,NA,1991,High,No,High,Sample complete!,,,,,,,,,,,,,,,,Hutan Primer,,  ,Agree,Yes,2014,No,High,Diana checked,,,,,,,,,,,,,,,,,,,,
Sumatera,Same sample ID,OK,9,7539,7539,7539,Non Forest,NA,1991,High,No,High,Sample complete!,,,,,,,,,,,,,,,,Pertambangan,Mining,  ,Disagree - minor,Yes,2013,No,High,Diana checked,,,,,,,,,,,,,,,,,,,,
Sumatera,Same sample ID,Over-entry,3,7540,7540,7540,Primary intact,NA,1991,Low,Yes,High,"Identifikasi pertama di tahun 1991, pixel tahun 1990 berwarna hitam",2000,1999,Degraded - Selective Logging,High,,2009,2008,Cleared - Tree plantations,High,,2014,2013,Cleared - Tree plantations,High,Pixel area was planted by timber tree (HTI area),Hutan Tanaman,clouds,Degraded - Selective Logging Cleared - Tree plantations Cleared - Tree plantations,Disagree - minor,No,none,No,High,Diana checked,,,,,,,,,,,,,,,,,,,,
Sumatera,Same sample ID,OK,9,7541,7541,7541,Primary intact,NA,1991,High,Yes,High,"identifikasi pertama tahun 1991, pixel 1990 berwarna hitam",1998,1996,Cleared - Palm estates,High,,,,,,,,,,,,Perkebunan,,Cleared - Palm estates  ,Agree,Yes,none,No,High,Diana checked,,,,,,,,,,,,,,,,,,,,
Sumatera,Same sample ID,OK,9,7542,7542,7542,Primary intact,NA,1990,High,No,High,Sample complete!,,,,,,,,,,,,,,,,Hutan Rawa Primer,,  ,Agree,Yes,none,No,High,Diana checked,,,,,,,,,,,,,,,,,,,,
Sumatera,Same sample ID,OK,9,7543,7543,7543,Primary degraded,NA,1990,High,Yes,High,,1993,1991,Cleared - Small-holder land use,High,,1997,1996,Cleared - Small-holder land use,High,,,,,,,Pertanian Lahan Kering Campur Semak,Kebun campur,Cleared - Small-holder land use Cleared - Small-holder land use ,Disagree - minor,Yes,2016,No,High,Diana checked,,,,,,,,,,,,,,,,,,,,
Sumatera,Same sample ID,OK,9,7544,7544,7544,Non Forest,NA,1990,High,No,Low,Sample complete!,,,,,,,,,,,,,,,,Perkebunan,sawit,  ,Agree,Yes,none,No,High,Diana checked,,,,,,,,,,,,,,,,,,,,
Sumatera,Same sample ID,OK,9,7545,7545,7545,Primary intact,NA,1990,High,No,High,Sample complete!,,,,,,,,,,,,,,,,Hutan Rawa Primer,,  ,Agree,Yes,none,No,High,Diana checked,,,,,,,,,,,,,,,,,,,,
