USER,Editor,COMPARE_KLHK_1990,COMPARE_UMD_2001,OMISSION or COMMISSION,NEW EDITS,DISAGREEMENT NOTES,ISLAND,ID,1990 land cover,X1990_CONF,Final land use KLHK,FINAL_LU_UMD,CONF_FINAL,Change 1 year,Change 1 previous cloud free year,Change 1 type,Change 1 confidence,Change 2 year,Change 2 previous cloud free year,Change 2 type,Change 2 confidence,Change 3 year,Change 3 previous cloud free year,Change 3 type,Change 3 confidence,Change 4 year,Change 4 previous cloud free year,Change 4 type,Change 4 confidence,Change 5 year,Change 5 previous cloud free,Change 5 type,Change 5 confidence,Change 6 year,Change 6 previous cloud free,Change 6 type,Change 6 confidence,SPOT,HIGHRES_GE,FY_CF,CHANGE_EVENT,CHANGE_E_CONF,AGREE_DISAGREE,D_EDITS,X1990_NOTES,CLASS_NOTES,CH1_NOTES,CH2_NOTES,CH3_NOTES,CH4_NOTES,CH5_NOTES,CH6_NOTES,NOTES_FINAL
Anna checked,Anna checked,OMISSION,AGREE_FOR,YES,No edits needed,,Irian Jaya,488,Primary intact,High,Hutan Primer,PIN,High,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,none,1995,No,High,Agree,NA,Sample complete!,,,,NA,NA,NA,NA,
Anna checked,Anna checked,COMMISSION,AGREE_NON,YES,No edits needed,,Irian Jaya,495,Non Forest,High,Pertanian Lahan Kering Campur Semak,NON,High,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,2008,1996,No,High,Agree,NA,Sample complete!,,,,NA,NA,NA,NA,
Anna checked,Anna checked,COMMISSION,COMMISSION,YES,Edited entry,fire in 1998 but only degraded,Irian Jaya,515,Primary degraded,High,Hutan Sekunder,NON,High,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,none,1998,No,High,Disagree - major,NA,Sample complete!,,,,NA,NA,NA,NA,
Anna checked,Anna checked,AGREE_FOR,OMISSION,YES,Edited entry,forest in wetland,Irian Jaya,516,Primary intact,High,Hutan Rawa Sekunder,DEG_SL,High,2002,2001,Degraded - Selective Logging,High,NA,NA,,,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,none,1990,Yes,High,Disagree - major,NA,,,,,NA,NA,NA,NA,
Anna checked,Anna checked,OMISSION,OMISSION,YES,No edits needed,"wetland forest, edge of forest and river",Irian Jaya,519,Primary intact,High,Hutan Rawa Primer,PIN,High,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,none,1990,No,High,Disagree - major,NA,Sample complete!,,,,NA,NA,NA,NA,
Anna checked,Anna checked,OMISSION,AGREE_FOR,YES,Edited entry,wetland forest,Irian Jaya,529,Primary intact,High,Hutan Rawa Primer,DEG_SL,High,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,2014,1990,Yes,Low,Disagree - major,NA,,,,,NA,NA,NA,NA,
Anna checked,Anna checked,AGREE_NON,COMMISSION,YES,Edited entry,wetland forest,Irian Jaya,532,Primary intact,High,Hutan Rawa Primer,NON,High,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,none,1991,No,High,Disagree - major,NA,Sample complete!,,,,NA,NA,NA,NA,
Anna checked,Anna checked,OMISSION,AGREE_FOR,YES,No edits needed,,Irian Jaya,544,Primary intact,High,Hutan Sekunder,DEG_SL,High,2000,1999,Degraded - Selective Logging,High,NA,NA,,,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,2016,1997,Yes,High,Disagree - major,NA,,,,,NA,NA,NA,NA,
Anna checked,Anna checked,AGREE_NON,COMMISSION,YES,No edits needed,"wetland, texture smoother compare texture of forest in below",Irian Jaya,546,Non Forest,High,Belukar Rawa,NON,High,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,2012,1990,No,High,Disagree - minor,NA,Sample complete!,,,,NA,NA,NA,NA,
Anna checked,Anna checked,OMISSION,AGREE_FOR,YES,No edits needed,,Irian Jaya,553,Primary intact,High,Hutan Primer,PIN,High,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,2016,1991,No,High,Agree,NA,Sample complete!,,,,NA,NA,NA,NA,
Anna checked,Anna checked,AGREE_NON,COMMISSION,YES,Edited entry,,Irian Jaya,554,Primary intact,High,Belukar Rawa,NON,High,2007,2006,Degraded - Selective Logging,High,2008,2007,Cleared - Fire,High,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,none,1999,No,High,Agree,NA,Sample complete!,Cross-checked using GoggleEarth,,,NA,NA,NA,NA,
Anna checked,Anna checked,COMMISSION,AGREE_NON,YES,No edits needed,,Irian Jaya,559,Non Forest,High,Belukar,NON,High,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,none,1991,No,High,Agree,NA,Sample complete!,,,,NA,NA,NA,NA,
Anna checked,Anna checked,COMMISSION,AGREE_NON,YES,No edits needed,,Irian Jaya,561,Non Forest,High,Pertanian Lahan Kering Campur Semak,NON,High,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,2015,1990,No,High,Disagree - major,NA,Sample complete!,Cross-checked using GoggleEarth,,,NA,NA,NA,NA,
Anna checked,Anna checked,COMMISSION,AGREE_NON,YES,No edits needed,,Irian Jaya,563,Non Forest,High,Lahan Terbuka,NON,High,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,2013,1990,No,High,Disagree - major,NA,Sample complete!,based on Landsat 2016,,,NA,NA,NA,NA,
Anna checked,Anna checked,AGREE_FOR,OMISSION,YES,No edits needed,,Irian Jaya,588,Primary intact,High,Hutan Sekunder,DEG_SL,High,1998,1995,Degraded - Selective Logging,High,NA,NA,,,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,none,1991,Yes,High,Disagree - minor,NA,,,,,NA,NA,NA,NA,
Anna checked,Anna checked,AGREE_FOR,OMISSION,YES,Edited entry,,Irian Jaya,599,Primary intact,High,Hutan Primer,DEG_NE,High,,,,,,,,,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,2010,1993,Yes,High,Disagree - major,NA,,,,,NA,NA,NA,NA,
Anna checked,Anna checked,AGREE_FOR,OMISSION,YES,No edits needed,,Irian Jaya,621,Primary intact,High,Hutan Primer,PIN,High,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,none,1995,No,High,Agree,NA,Sample complete!,,,,NA,NA,NA,NA,
Anna checked,Anna checked,COMMISSION,AGREE_NON,YES,No edits needed,"di igir pegunungan, jenis batuan, tanaman kerdil kurang dari 5 m",Irian Jaya,623,Non Forest,High,Belukar,NON,High,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,none,1995,No,High,Disagree - major,NA,Sample complete!,,,,NA,NA,NA,NA,
Anna checked,Anna checked,OMISSION,OMISSION,YES,Edited entry,,Irian Jaya,652,Non Forest,High,Belukar Rawa,PIN,High,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,2012,1990,No,High,Disagree - major,NA,Sample complete!,,,,NA,NA,NA,NA,
Anna checked,Anna checked,AGREE_NON,COMMISSION,YES,Edited entry,,Irian Jaya,657,Primary intact,High,Hutan Sekunder,NON,High,1997,1996,Degraded - Nearby clearing,High,NA,NA,,,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,none,1994,No,High,Disagree - major,NA,Sample complete!,,,,NA,NA,NA,NA,
Anna checked,Anna checked,OMISSION,AGREE_FOR,YES,No edits needed,,Irian Jaya,673,Primary intact,High,Hutan Primer,PIN,High,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,none,1995,No,High,Disagree - major,NA,Sample complete!,,,,NA,NA,NA,NA,
Anna checked,Anna checked,COMMISSION,AGREE_NON,YES,No edits needed,,Irian Jaya,677,Non Forest,High,Belukar Rawa,NON,High,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,none,1990,No,High,Disagree - major,NA,Sample complete!,in Landsat 2016,,,NA,NA,NA,NA,
Anna checked,Anna checked,COMMISSION,AGREE_NON,YES,No edits needed,,Irian Jaya,680,Non Forest,High,Rawa,NON,High,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,none,1990,No,High,Disagree - minor,NA,Sample complete!,,,,NA,NA,NA,NA,
Anna checked,Anna checked,AGREE_FOR,OMISSION,YES,No edits needed,"wetland forest, lower area",Irian Jaya,691,Primary intact,High,Hutan Rawa Primer,PIN,High,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,none,1990,No,High,Disagree - minor,NA,Sample complete!,,,,NA,NA,NA,NA,
Anna checked,Anna checked,AGREE_FOR,OMISSION,YES,No edits needed,,Irian Jaya,700,Primary intact,High,Hutan Mangrove,PIN,High,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,none,1991,No,High,Disagree - minor,NA,Sample complete!,,,,NA,NA,NA,NA,
Anna checked,Anna checked,OMISSION,AGREE_NON,YES,No edits needed,,Irian Jaya,708,Primary intact,High,Rawa,CLEAR_AB,High,1999,1996,Degraded - Natural disturbance,High,2000,1999,Cleared - Abandoned/transitional,High,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,none,1996,Yes,High,Disagree - minor,NA,,,,,NA,NA,NA,NA,
Anna checked,Anna checked,OMISSION,AGREE_NON,YES,No edits needed,,Irian Jaya,710,Primary intact,High,Belukar,CLEAR_AB,High,1995,1994,Degraded - Nearby clearing,High,1997,1996,Cleared - Abandoned/transitional,High,2015,2014,Cleared - Abandoned/transitional,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,none,1990,Yes,High,Disagree - minor,NA,,,,,NA,NA,NA,NA,
Anna checked,Anna checked,AGREE_FOR,OMISSION,YES,No edits needed,wetland forest,Irian Jaya,715,Primary degraded,High,Hutan Rawa Sekunder,DEG,High,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,none,1990,No,High,Disagree - minor,NA,Sample complete!,,,,NA,NA,NA,NA,
