USER,Editor,COMPARE_KLHK_1990,COMPARE_UMD_2001,OMISSION or COMMISSION,Link start,Link end,NEW EDITS,DISAGREEMENT NOTES,ISLAND,ID,1990 land cover,X1990_CONF,Final land use KLHK,FINAL_LU_UMD,CONF_FINAL,Change 1 year,Change 1 previous cloud free year,Change 1 type,Change 1 confidence,Change 2 year,Change 2 previous cloud free year,Change 2 type,Change 2 confidence,Change 3 year,Change 3 previous cloud free year,Change 3 type,Change 3 confidence,Change 4 year,Change 4 previous cloud free year,Change 4 type,Change 4 confidence,Change 5 year,Change 5 previous cloud free,Change 5 type,Change 5 confidence,Change 6 year,Change 6 previous cloud free,Change 6 type,Change 6 confidence,SPOT,HIGHRES_GE,FY_CF,CHANGE_EVENT,CHANGE_E_CONF,AGREE_DISAGREE,D_EDITS,X1990_NOTES,CLASS_NOTES,CH1_NOTES,CH2_NOTES,CH3_NOTES,CH4_NOTES,CH5_NOTES,CH6_NOTES,NOTES_FINAL
Diana checked,Diana checked,COMMISSION,AGREE_NON,YES,file:///F:/Indonesia_samples/pages_new/Irian_Jaya_sample,.html,No edits needed,"River valley, forested on a landscape but not pixel scale",Irian Jaya,1701,Non Forest,High,Belukar,NON,High,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,none,1990,No,High,Agree,NA,Sample complete!,,,,NA,NA,NA,NA,
Diana checked,Diana checked,AGREE_FOR,OMISSION,YES,file:///F:/Indonesia_samples/pages_new/Irian_Jaya_sample,.html,No edits needed,"Forest in a seasonally dry wetland, bordering a natural bare ground/shrub area",Irian Jaya,1713,Primary intact,High,Hutan Primer,PIN,High,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,2015,1990,No,High,Disagree - major,NA,Sample complete!,,,,NA,NA,NA,NA,
Diana checked,Diana checked,AGREE_FOR,OMISSION,YES,file:///F:/Indonesia_samples/pages_new/Irian_Jaya_sample,.html,Edited entry,"Still forested in 2001, but changed the selective logging year",Irian Jaya,1718,Primary intact,High,Belukar,CLEAR_AB,High,2015,2014,Degraded - Selective Logging,High,2016,2015,Cleared - Abandoned/transitional,Low,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,2015,1990,Yes,High,Disagree - major,NA,,,,,NA,NA,NA,NA,
Diana checked,Diana checked,COMMISSION,COMMISSION,YES,file:///F:/Indonesia_samples/pages_new/Irian_Jaya_sample,.html,No edits needed,"Natural shrubland, some tree cover but very little within the pixel itself (though ""forest"" on a landscape scale)",Irian Jaya,1723,Non Forest,High,Belukar,NON,High,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,2006,1990,No,High,Disagree - major,NA,Sample complete!,,,,NA,NA,NA,NA,
Diana checked,Diana checked,COMMISSION,AGREE_NON,YES,file:///F:/Indonesia_samples/pages_new/Irian_Jaya_sample,.html,No edits needed,,Irian Jaya,1725,Non Forest,High,Belukar Rawa,NON,High,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,none,1999,No,High,Disagree - major,NA,Sample complete!,,,,NA,NA,NA,NA,
Diana checked,Diana checked,OMISSION,OMISSION,YES,file:///F:/Indonesia_samples/pages_new/Irian_Jaya_sample,.html,No edits needed,"Based on SPOT, pretty sure this is forest",Irian Jaya,1726,Primary intact,High,Hutan Primer,PIN,High,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,none,1990,No,High,Agree,NA,Sample complete!,,,,NA,NA,NA,NA,
Diana checked,Diana checked,COMMISSION,AGREE_NON,YES,file:///F:/Indonesia_samples/pages_new/Irian_Jaya_sample,.html,No edits needed,,Irian Jaya,1737,Non Forest,High,Belukar,NON,High,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,none,1990,No,High,Disagree - major,NA,Sample complete!,,,,NA,NA,NA,NA,
Diana checked,Diana checked,COMMISSION,AGREE_NON,YES,file:///F:/Indonesia_samples/pages_new/Irian_Jaya_sample,.html,Edited entry,"Mountain forest, seasonally dry and sparse vegetation due to elevation, but based on GE pretty sure this is forest",Irian Jaya,1752,Primary intact,High,Hutan Primer,PIN,High,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,none,1991,No,High,Disagree - major,NA,Sample complete!,,,,NA,NA,NA,NA,
Diana checked,Diana checked,AGREE_FOR,OMISSION,YES,file:///F:/Indonesia_samples/pages_new/Irian_Jaya_sample,.html,Edited entry,"Cleared due to logging, generally selective but led to full stand clearing within pixel",Irian Jaya,1756,Primary intact,High,Belukar,CLEAR_AB,High,1999,1993,Cleared - Abandoned/transitional,Low,NA,NA,,,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,none,1993,Yes,High,Disagree - major,NA,,,,,NA,NA,NA,NA,
Diana checked,Diana checked,AGREE_FOR,OMISSION,YES,file:///F:/Indonesia_samples/pages_new/Irian_Jaya_sample,.html,No edits needed,"Wetland, degraded by fire, but not cleared",Irian Jaya,1766,Primary degraded,High,Hutan Sekunder,DEG_FI,High,1998,1997,Degraded - Fire,Low,NA,NA,,,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,none,1990,Yes,High,Disagree - minor,NA,,,,,NA,NA,NA,NA,
