USER,Editor,COMPARE_KLHK_1990,COMPARE_UMD_2001,OMISSION or COMMISSION,NEW EDITS,DISAGREEMENT NOTES,ISLAND,ID,1990 land cover,X1990_CONF,Final land use KLHK,FINAL_LU_UMD,CONF_FINAL,Change 1 year,Change 1 previous cloud free year,Change 1 type,Change 1 confidence,Change 2 year,Change 2 previous cloud free year,Change 2 type,Change 2 confidence,Change 3 year,Change 3 previous cloud free year,Change 3 type,Change 3 confidence,Change 4 year,Change 4 previous cloud free year,Change 4 type,Change 4 confidence,Change 5 year,Change 5 previous cloud free,Change 5 type,Change 5 confidence,Change 6 year,Change 6 previous cloud free,Change 6 type,Change 6 confidence,SPOT,HIGHRES_GE,FY_CF,CHANGE_EVENT,CHANGE_E_CONF,AGREE_DISAGREE,D_EDITS,X1990_NOTES,CLASS_NOTES,CH1_NOTES,CH2_NOTES,CH3_NOTES,CH4_NOTES,CH5_NOTES,CH6_NOTES,NOTES_FINAL
Tatik checked,Tatik checked,AGREE_FOR,OMISSION,YES,No edits needed,,Irian Jaya,10,Primary degraded,High,Hutan Sekunder,DEG,High,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,2012,1992,No,High,Disagree - major,NA,Sample complete!,,,,NA,NA,NA,NA,
Tatik checked,Tatik checked,AGREE_FOR,OMISSION,YES,No edits needed,,Irian Jaya,11,Primary intact,High,Hutan Primer,PIN,High,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,none,1996,No,High,Agree,NA,Sample complete!,,,,NA,NA,NA,NA,
Tatik checked,Tatik checked,AGREE_FOR,OMISSION,YES,Edited entry,,Irian Jaya,16,Primary degraded,High,Hutan Sekunder,PIN,High,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,none,1990,No,High,Agree,NA,Sample complete!,,,,NA,NA,NA,NA,
Tatik checked,Tatik checked,OMISSION,AGREE_FOR,YES,No edits needed,,Irian Jaya,19,Primary intact,High,Hutan Primer,PIN,High,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,none,1997,No,High,Agree,NA,Sample complete!,,,,NA,NA,NA,NA,
Tatik checked,Tatik checked,OMISSION,COMMISSION,YES,Edited entry,,Irian Jaya,22,Primary intact,High,Hutan Mangrove Sekunder,CLEAR_AB,High,1997,1996,Degraded - Natural disturbance,Low,NA,NA,,,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,none,1990,Yes,High,Disagree - minor,NA,,low trees number,,,NA,NA,NA,NA,
Tatik checked,Tatik checked,OMISSION,AGREE_NON,YES,Edited entry,,Irian Jaya,26,Primary degraded,High,Belukar Rawa,CLEAR_FI,High,1998,1997,Cleared - Fire,High,NA,NA,,,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,2012,1990,Yes,High,Disagree - minor,NA,,,,,NA,NA,NA,NA,
Tatik checked,Tatik checked,COMMISSION,AGREE_NON,YES,Edited entry,sample point at 1990 is different with the other sample location. 1990 LC based on 1997 image. No image:1991-1996,Irian Jaya,33,Non Forest,High,Pertanian Lahan Kering Campur Semak,NON,High,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,2009,1990,No,High,Disagree - major,NA,Sample complete!,,,,NA,NA,NA,NA,
Tatik checked,Tatik checked,AGREE_FOR,OMISSION,YES,Edited entry,,Irian Jaya,36,Primary intact,High,Hutan Sekunder,DEG_SL,High,1994,1991,Degraded - Nearby clearing,High,NA,NA,,,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,2010,1991,Yes,High,Disagree - minor,NA,,,,,NA,NA,NA,NA,
Tatik checked,Tatik checked,COMMISSION,AGREE_NON,YES,No edits needed,,Irian Jaya,43,Non Forest,High,Belukar,NON,High,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,2001,2001,No,High,Agree,NA,Sample complete!,,,,NA,NA,NA,NA,
Tatik checked,Tatik checked,COMMISSION,AGREE_NON,YES,No edits needed,,Irian Jaya,48,Non Forest,High,Belukar Rawa,NON,High,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,none,1990,No,High,Agree,NA,Sample complete!,,,,NA,NA,NA,NA,
