USER,Editor,COMPARE_KLHK_1990,COMPARE_UMD_2001,OMISSION or COMMISSION,NEW EDITS,DISAGREEMENT NOTES,ISLAND,ID,1990 land cover,X1990_CONF,Final land use KLHK,FINAL_LU_UMD,CONF_FINAL,Change 1 year,Change 1 previous cloud free year,Change 1 type,Change 1 confidence,Change 2 year,Change 2 previous cloud free year,Change 2 type,Change 2 confidence,Change 3 year,Change 3 previous cloud free year,Change 3 type,Change 3 confidence,Change 4 year,Change 4 previous cloud free year,Change 4 type,Change 4 confidence,Change 5 year,Change 5 previous cloud free,Change 5 type,Change 5 confidence,Change 6 year,Change 6 previous cloud free,Change 6 type,Change 6 confidence,SPOT,HIGHRES_GE,FY_CF,CHANGE_EVENT,CHANGE_E_CONF,AGREE_DISAGREE,D_EDITS,X1990_NOTES,CLASS_NOTES,CH1_NOTES,CH2_NOTES,CH3_NOTES,CH4_NOTES,CH5_NOTES,CH6_NOTES,NOTES_FINAL
Zuraidah checked,Zuraidah checked,COMMISSION,AGREE_NON,YES,No edits needed,"The pixel was agriculture land in 1990, and in 2016 it's settlement",Irian Jaya,250,Non Forest,High,Pemukiman,NON,High,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,none,1990,No,High,Agree,NA,Sample complete!,,,,NA,NA,NA,NA,
Zuraidah checked,Zuraidah checked,COMMISSION,AGREE_NON,YES,No edits needed,,Irian Jaya,251,Non Forest,High,Belukar Rawa,NON,High,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,none,1990,No,High,Disagree - major,NA,Sample complete!,,,,NA,NA,NA,NA,
Zuraidah checked,Zuraidah checked,AGREE_FOR,OMISSION,YES,Edited entry,degradation took place in 2001,Irian Jaya,253,Primary degraded,Low,Hutan Sekunder,DEG,High,2001,2000,Degraded - Selective Logging,Low,NA,NA,,,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,none,1990,No,High,Disagree - major,NA,Sample complete!,,,,NA,NA,NA,NA,
Zuraidah checked,Zuraidah checked,AGREE_FOR,OMISSION,YES,No edits needed,,Irian Jaya,254,Primary intact,High,Hutan Primer,PIN,High,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,2013,1993,No,High,Disagree - major,NA,Sample complete!,,,,NA,NA,NA,NA,
Zuraidah checked,Zuraidah checked,COMMISSION,COMMISSION,YES,No edits needed,,Irian Jaya,256,Non Forest,High,Belukar Rawa,NON,High,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,none,1990,Yes,High,Disagree - major,NA,,,,,NA,NA,NA,NA,
Zuraidah checked,Zuraidah checked,COMMISSION,AGREE_NON,YES,No edits needed,,Irian Jaya,257,Non Forest,Low,Pertanian Lahan Kering,NON,High,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,2014,1994,No,High,Disagree - major,NA,Sample complete!,,,,NA,NA,NA,NA,
Zuraidah checked,Zuraidah checked,AGREE_FOR,COMMISSION,YES,Edited entry,"primary intact, and no change. just seasonal water logged",Irian Jaya,259,Primary intact,Low,Hutan Rawa Primer,CLEAR_AB,High,NA,NA,NA,NA,NA,NA,,,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,none,1996,Yes,High,Disagree - major,NA,,,,,NA,NA,NA,NA,
Zuraidah checked,Zuraidah checked,COMMISSION,COMMISSION,YES,Edited entry,changed the class from 'belukar' to 'belukar rawa',Irian Jaya,266,Non Forest,High,Belukar Rawa,NON,High,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,2016,1990,No,High,Disagree - major,NA,Sample complete!,belukar mangrove,,,NA,NA,NA,NA,
Zuraidah checked,Zuraidah checked,AGREE_NON,COMMISSION,YES,No edits needed,,Irian Jaya,274,Non Forest,High,Belukar Rawa,NON,High,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,2014,1997,No,High,Disagree - major,NA,Sample complete!,,,,NA,NA,NA,NA,
Zuraidah checked,Zuraidah checked,COMMISSION,COMMISSION,YES,Edited entry,changed to primary intact,Irian Jaya,275,Primary intact,High,Hutan Rawa Primer,NON,Low,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,none,1990,No,High,Disagree - major,NA,Sample complete!,belukar mangrove,,,NA,NA,NA,NA,
Zuraidah checked,Zuraidah checked,COMMISSION,AGREE_NON,YES,No edits needed,,Irian Jaya,286,Non Forest,High,Rawa,NON,High,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,none,1990,No,High,Agree,NA,Sample complete!,,,,NA,NA,NA,NA,
Zuraidah checked,Zuraidah checked,COMMISSION,AGREE_NON,YES,No edits needed,,Irian Jaya,288,Non Forest,High,Rawa,NON,High,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,2012,2000,No,High,Disagree - major,NA,Sample complete!,,,,NA,NA,NA,NA,
Zuraidah checked,Zuraidah checked,COMMISSION,AGREE_NON,YES,No edits needed,,Irian Jaya,292,Non Forest,High,Belukar,NON,High,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,none,1990,No,High,Disagree - major,NA,Sample complete!,,,,NA,NA,NA,NA,
Zuraidah checked,Zuraidah checked,AGREE_FOR,OMISSION,YES,Edited entry,changed from 'primary intact' to 'non forest',Irian Jaya,312,Non Forest,High,Rawa,CLEAR_FI,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,none,1990,Yes,High,Disagree - major,NA,,,,"fire could have taken place in 2015, but recorded in 2016",NA,NA,NA,NA,
Zuraidah checked,Zuraidah checked,COMMISSION,AGREE_NON,YES,No edits needed,,Irian Jaya,315,Non Forest,High,Rawa,NON,High,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,2012,1990,No,High,Disagree - major,NA,Sample complete!,,,,NA,NA,NA,NA,
Zuraidah checked,Zuraidah checked,AGREE_FOR,OMISSION,YES,No edits needed,,Irian Jaya,319,Primary intact,High,Hutan Primer,PIN,High,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,none,1997,No,High,Agree,NA,Sample complete!,,,,NA,NA,NA,NA,
Zuraidah checked,Zuraidah checked,AGREE_FOR,OMISSION,YES,Edited entry,changed from 'primary intact' to 'non forest',Irian Jaya,338,Non Forest,Low,Belukar Rawa,PIN,High,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,2006,1990,No,High,Disagree - major,NA,Sample complete!,,,,NA,NA,NA,NA,
Zuraidah checked,Zuraidah checked,AGREE_FOR,OMISSION,YES,No edits needed,,Irian Jaya,339,Primary intact,High,Hutan Rawa Primer,PIN,High,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,none,1992,No,High,Agree,NA,Sample complete!,,,,NA,NA,NA,NA,
