Editor,COMPARE_KLHK_1990,COMPARE_UMD_2001,DISAGREEMENTS,DISAGREEMENT EDITS,DISAGREEMENT NOTES,ISLAND,ID
NA,AGREE_FOR,AGREE_FOR,NONE,NA,NA,Irian Jaya,1
NA,AGREE_FOR,AGREE_FOR,NONE,NA,NA,Irian Jaya,2
NA,AGREE_FOR,AGREE_FOR,NONE,NA,NA,Irian Jaya,3
NA,AGREE_FOR,AGREE_FOR,NONE,NA,NA,Irian Jaya,4
NA,AGREE_FOR,AGREE_FOR,NONE,NA,NA,Irian Jaya,5
NA,AGREE_FOR,AGREE_FOR,NONE,NA,NA,Irian Jaya,6
NA,AGREE_FOR,AGREE_FOR,NONE,NA,NA,Irian Jaya,7
NA,AGREE_FOR,AGREE_FOR,NONE,NA,NA,Irian Jaya,8
NA,AGREE_FOR,AGREE_FOR,NONE,NA,NA,Irian Jaya,9
NA,AGREE_FOR,OMISSION,YES,NA,NA,Irian Jaya,10
NA,AGREE_FOR,OMISSION,YES,NA,NA,Irian Jaya,11
NA,AGREE_FOR,AGREE_FOR,NONE,NA,NA,Irian Jaya,12
NA,AGREE_FOR,AGREE_FOR,NONE,NA,NA,Irian Jaya,13
NA,AGREE_NON,AGREE_NON,NONE,NA,NA,Irian Jaya,14
NA,AGREE_FOR,AGREE_FOR,NONE,NA,NA,Irian Jaya,15
NA,AGREE_FOR,OMISSION,YES,NA,NA,Irian Jaya,16
NA,AGREE_NON,AGREE_NON,NONE,NA,NA,Irian Jaya,17
NA,AGREE_FOR,AGREE_FOR,NONE,NA,NA,Irian Jaya,18
NA,OMISSION,AGREE_FOR,YES,NA,NA,Irian Jaya,19
NA,AGREE_FOR,AGREE_FOR,NONE,NA,NA,Irian Jaya,20
NA,AGREE_FOR,AGREE_FOR,NONE,NA,NA,Irian Jaya,21
NA,OMISSION,COMMISSION,YES,NA,NA,Irian Jaya,22
NA,AGREE_FOR,AGREE_FOR,NONE,NA,NA,Irian Jaya,23
NA,AGREE_FOR,AGREE_FOR,NONE,NA,NA,Irian Jaya,24
NA,AGREE_NON,AGREE_NON,NONE,NA,NA,Irian Jaya,25
NA,OMISSION,AGREE_NON,YES,NA,NA,Irian Jaya,26
NA,AGREE_FOR,AGREE_FOR,NONE,NA,NA,Irian Jaya,27
NA,AGREE_FOR,AGREE_FOR,NONE,NA,NA,Irian Jaya,28
NA,AGREE_FOR,AGREE_FOR,NONE,NA,NA,Irian Jaya,29
NA,AGREE_FOR,AGREE_FOR,NONE,NA,NA,Irian Jaya,30
NA,AGREE_FOR,AGREE_FOR,NONE,NA,NA,Irian Jaya,31
NA,AGREE_NON,AGREE_NON,NONE,NA,NA,Irian Jaya,32
NA,COMMISSION,AGREE_NON,YES,NA,NA,Irian Jaya,33
NA,AGREE_FOR,AGREE_FOR,NONE,NA,NA,Irian Jaya,34
NA,AGREE_FOR,AGREE_FOR,NONE,NA,NA,Irian Jaya,35
NA,AGREE_FOR,OMISSION,YES,NA,NA,Irian Jaya,36
NA,AGREE_FOR,AGREE_FOR,NONE,NA,NA,Irian Jaya,37
NA,AGREE_NON,AGREE_NON,NONE,NA,NA,Irian Jaya,38
NA,AGREE_FOR,AGREE_FOR,NONE,NA,NA,Irian Jaya,39
NA,AGREE_NON,AGREE_NON,NONE,NA,NA,Irian Jaya,40
NA,AGREE_FOR,AGREE_FOR,NONE,NA,NA,Irian Jaya,41
NA,AGREE_FOR,AGREE_FOR,NONE,NA,NA,Irian Jaya,42
NA,COMMISSION,AGREE_NON,YES,NA,NA,Irian Jaya,43
NA,AGREE_NON,AGREE_NON,NONE,NA,NA,Irian Jaya,44
NA,AGREE_FOR,AGREE_FOR,NONE,NA,NA,Irian Jaya,45
NA,AGREE_NON,AGREE_NON,NONE,NA,NA,Irian Jaya,46
NA,AGREE_FOR,AGREE_FOR,NONE,NA,NA,Irian Jaya,47
NA,COMMISSION,AGREE_NON,YES,NA,NA,Irian Jaya,48
NA,AGREE_FOR,AGREE_FOR,NONE,NA,NA,Irian Jaya,49
NA,AGREE_FOR,AGREE_FOR,NONE,NA,NA,Irian Jaya,50
NA,AGREE_NON,AGREE_NON,NONE,NA,NA,Irian Jaya,51
NA,AGREE_FOR,AGREE_FOR,NONE,NA,NA,Irian Jaya,52
NA,AGREE_FOR,AGREE_FOR,NONE,NA,NA,Irian Jaya,53
NA,AGREE_FOR,AGREE_FOR,NONE,NA,NA,Irian Jaya,54
NA,AGREE_FOR,AGREE_FOR,NONE,NA,NA,Irian Jaya,55
NA,AGREE_FOR,AGREE_FOR,NONE,NA,NA,Irian Jaya,56
NA,AGREE_FOR,AGREE_FOR,NONE,NA,NA,Irian Jaya,57
NA,COMMISSION,AGREE_NON,YES,NA,NA,Irian Jaya,58
NA,AGREE_FOR,AGREE_FOR,NONE,NA,NA,Irian Jaya,59
NA,AGREE_NON,AGREE_NON,NONE,NA,NA,Irian Jaya,60
NA,AGREE_FOR,AGREE_FOR,NONE,NA,NA,Irian Jaya,61
NA,AGREE_FOR,AGREE_FOR,NONE,NA,NA,Irian Jaya,62
NA,AGREE_FOR,AGREE_FOR,NONE,NA,NA,Irian Jaya,63
NA,AGREE_NON,AGREE_NON,NONE,NA,NA,Irian Jaya,64
NA,AGREE_FOR,AGREE_FOR,NONE,NA,NA,Irian Jaya,65
NA,AGREE_FOR,AGREE_FOR,NONE,NA,NA,Irian Jaya,66
NA,AGREE_FOR,AGREE_FOR,NONE,NA,NA,Irian Jaya,67
