ID,LINK,PATH,PATH_1,PATH_3,PATH_5,Version,FINAL_LAND_USE,TRAJECTORY,ISLAND,Checked,NOTES,X1990_LC,X1990_CONF,X1990_NOTES,CH1_YR,CH1_PCF,CH1_TYPE,CH1_CONF,CH1_NOTES,CH2_YR,CH2_PCF,CH2_TYPE,CH2_CONF,CH2_NOTES,CH3_YR,CH3_PCF,CH3_TYPE,CH3_CONF,CH3_NOTES,CH4_YR,CH4_PCF,CH4_TYPE,CH4_CONF,CH4_NOTES,CH5_YR,CH5_PCF,CH5_TYPE,CH5_CONF,CH5_NOTES,CH6_YR,CH6_PCF,CH6_TYPE,CH6_CONF,CH6_NOTES,FINAL_LU,USER,CLASS_NOTES,NOTES_FINAL,CONF_FINAL,CHANGE_E_CONF,DISAGREEMENT_EDITS,DISAGREEMENT_NOTES,DEG_YR_FIRST,DEG_TYPE_FIRST,CLEAR_YR_FIRST,CLEAR_TYPE_FIRST,AGREE_DISAGREE,SPOT,HIGHRES_GE,FY_CF,Editor,NUM_CHANGE,TREE_COVER,LOSS_YEAR,KLHK_CLASS_1990,KLHK_CLASS_2000,KLHK_CLASS_2012,Sveta_2001,Belinda_2000,INCAS_2000,INCAS_2012,1990 status,2000 status,2001 status,2012 status,Team
7512,file:///F:/Indonesia_samples/pages_new/Sumatera_sample7512.html,file:///F:/Indonesia_samples/pages_new/Sumatera_sample7512.html,file:///F:/Indonesia_samples/pages_new/,_sample,.html,February,Primary intact,NO_CHANGE,Sumatera,Unsure,I don't think this is intact forest,Primary degraded,HIGH,NA,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0,NA,NA,NA,Hutan Mangrove Sekunder,Diana checked,NA,NA,HIGH,HIGH,No edits needed,Mangrove forest,0,NA,0,NA,Agree,NO,2015,1990,Diana checked,0,95,NA,FOREST,FOREST,FOREST,BUFFER,FOREST,FOREST,NON,FOREST,FOREST,FOREST,FOREST,Team_2
7840,file:///F:/Indonesia_samples/pages_new/Sumatera_sample7840.html,file:///F:/Indonesia_samples/pages_new/Sumatera_sample7840.html,file:///F:/Indonesia_samples/pages_new/,_sample,.html,February,Primary intact,NO_CHANGE,Sumatera,Unsure,Not sure this is intact forest,Non forest,HIGH,NA,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0,NA,NA,NA,Pertanian Lahan Kering Campur Semak,Diana checked,NA,Possible the pixel was degraded around 2011/2012 (after a settlement was built in the bottom left section of the scene),HIGH,LOW,No edits needed,NA,0,NA,0,NA,Disagree - minor,YES,none,1993,Diana checked,0,98,NA,NON,NON,NON,FOREST,FOREST,FOREST,FOREST,FOREST,FOREST,FOREST,FOREST,Team_2
8486,file:///F:/Indonesia_samples/pages_new/Sumatera_sample8486.html,file:///F:/Indonesia_samples/pages_new/Sumatera_sample8486.html,file:///F:/Indonesia_samples/pages_new/,_sample,.html,February,Primary intact,NO_CHANGE,Sumatera,Recommend change,Forest was degraded starting in 1999 (either logging or nearby peatland draining),Primary intact,HIGH,NA,1994,1992,Degraded - Peatland draining,NA,NA,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0,NA,NA,NA,Hutan Rawa Sekunder,Anna checked,NA,NA,HIGH,NA,No edits needed,NA,0,NA,0,NA,Disagree - minor,YES,2015,1990,Anna checked,0,100,NA,FOREST,FOREST,FOREST,BUFFER,FOREST,FOREST,FOREST,FOREST,FOREST,FOREST,FOREST,Team_2
8513,file:///F:/Indonesia_samples/pages_new/Sumatera_sample8513.html,file:///F:/Indonesia_samples/pages_new/Sumatera_sample8513.html,file:///F:/Indonesia_samples/pages_new/,_sample,.html,February,Primary intact,NO_CHANGE,Sumatera,Recommend change,"Degraded mangrove forest, possibly cleared in 2016",Primary degraded,HIGH,NA,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0,NA,NA,NA,Hutan Mangrove Sekunder,Anna checked,NA,Possible shifting the position of pixel of imagery ,HIGH,NA,No edits needed,mangrove forest,0,NA,0,NA,Disagree - major,YES,2016,1990,Anna checked,0,98,2016,NON,NON,NON,BUFFER,NON,NON,NON,FOREST,FOREST,FOREST,FOREST,Team_2
8546,file:///F:/Indonesia_samples/pages_new/Sumatera_sample8546.html,file:///F:/Indonesia_samples/pages_new/Sumatera_sample8546.html,file:///F:/Indonesia_samples/pages_new/,_sample,.html,February,Primary intact,NO_CHANGE,Sumatera,Recommend change,Non forest,Non forest,HIGH,NA,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0,NA,NA,NA,Belukar,Anna checked,NA,NA,HIGH,NA,No edits needed,seasonal forest in the peak of mountain,0,NA,0,NA,Disagree - major,YES,2016,1990,Anna checked,0,100,NA,NON,NON,NON,NON,NON,FOREST,FOREST,FOREST,FOREST,FOREST,FOREST,Team_2
8627,file:///F:/Indonesia_samples/pages_new/Sumatera_sample8627.html,file:///F:/Indonesia_samples/pages_new/Sumatera_sample8627.html,file:///F:/Indonesia_samples/pages_new/,_sample,.html,February,Primary intact,NO_CHANGE,Sumatera,Unsure,Not sure if this is forest or shrubland,Non forest,HIGH,NA,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0,NA,NA,NA,Belukar,Anna checked,NA,NA,HIGH,HIGH,No edits needed,forest in the peak of mountain,0,NA,0,NA,Agree,YES,2015,1990,Anna checked,0,85,NA,FOREST,FOREST,FOREST,BUFFER,FOREST,FOREST,FOREST,FOREST,FOREST,FOREST,FOREST,Team_2
8832,file:///F:/Indonesia_samples/pages_new/Sumatera_sample8832.html,file:///F:/Indonesia_samples/pages_new/Sumatera_sample8832.html,file:///F:/Indonesia_samples/pages_new/,_sample,.html,February,Primary intact,NO_CHANGE,Sumatera,Recommend change,More likely degraded than intact,Non forest,HIGH,NA,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0,NA,NA,NA,Belukar,Inggit checked,NA,NA,HIGH,HIGH,No edits needed,NA,0,NA,0,NA,Disagree - major,YES,2015,1990,Inggit checked,0,97,NA,NON,NON,NON,FOREST,NON,FOREST,FOREST,FOREST,FOREST,FOREST,FOREST,Team_2
8841,file:///F:/Indonesia_samples/pages_new/Sumatera_sample8841.html,file:///F:/Indonesia_samples/pages_new/Sumatera_sample8841.html,file:///F:/Indonesia_samples/pages_new/,_sample,.html,February,Primary intact,NO_CHANGE,Sumatera,Recommend change,Non forest,Non forest,HIGH,NA,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0,NA,NA,NA,Pertanian Lahan Kering Campur Semak,Inggit checked,No data SPOT,NA,HIGH,HIGH,No edits needed,NA,0,NA,0,NA,Agree,NO,2015,1990,Inggit checked,0,92,NA,NON,NON,NON,NON,NON,FOREST,NON,FOREST,FOREST,FOREST,FOREST,Team_2
8865,file:///F:/Indonesia_samples/pages_new/Sumatera_sample8865.html,file:///F:/Indonesia_samples/pages_new/Sumatera_sample8865.html,file:///F:/Indonesia_samples/pages_new/,_sample,.html,February,Primary intact,NO_CHANGE,Sumatera,Unsure,Degraded in 2010?,Primary intact,HIGH,NA,2004,2003,Degraded - Selective Logging,NA,NA,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0,NA,NA,NA,Hutan Sekunder,Inggit checked,NA,NA,HIGH,HIGH,NA,NA,0,NA,0,NA,Agree,NO,2014,1990,NA,0,90,NA,FOREST,FOREST,FOREST,FOREST,FOREST,NON,NON,FOREST,FOREST,FOREST,FOREST,Team_2
8905,file:///F:/Indonesia_samples/pages_new/Sumatera_sample8905.html,file:///F:/Indonesia_samples/pages_new/Sumatera_sample8905.html,file:///F:/Indonesia_samples/pages_new/,_sample,.html,February,Primary intact,NO_CHANGE,Sumatera,Recommend change,Degraded in 1999 from selective logging,Primary intact,HIGH,NA,1999,1998,Degraded - Selective Logging,NA,NA,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0,NA,NA,NA,Hutan Sekunder,Inggit checked,NA,NA,HIGH,HIGH,No edits needed,NA,0,NA,0,NA,Agree,YES,2012,1990,Inggit checked,0,90,NA,FOREST,FOREST,FOREST,BUFFER,FOREST,FOREST,FOREST,FOREST,FOREST,FOREST,FOREST,Team_2
