ID,LINK,PATH,PATH_1,PATH_3,PATH_5,Version,FINAL_LU_UMD,TRAJECTORY,ISLAND,Checked,NOTES,X1990_LC,X1990_CONF,X1990_NOTES,CH1_YR,CH1_PCF,CH1_TYPE,CH1_CONF,CH1_NOTES,CH2_YR,CH2_PCF,CH2_TYPE,CH2_CONF,CH2_NOTES,CH3_YR,CH3_PCF,CH3_TYPE,CH3_CONF,CH3_NOTES,CH4_YR,CH4_PCF,CH4_TYPE,CH4_CONF,CH4_NOTES,CH5_YR,CH5_PCF,CH5_TYPE,CH5_CONF,CH5_NOTES,CH6_YR,CH6_PCF,CH6_TYPE,CH6_CONF,CH6_NOTES,FINAL_LU,USER,CLASS_NOTES,NOTES_FINAL,CONF_FINAL,CHANGE_E_CONF,DISAGREEMENT_EDITS,DISAGREEMENT_NOTES,DEG_YR_FIRST,DEG_TYPE_FIRST,CLEAR_YR_FIRST,CLEAR_TYPE_FIRST,AGREE_DISAGREE,SPOT,HIGHRES_GE,FY_CF,Editor,NUM_CHANGE,TREE_COVER,LOSS_YEAR,KLHK_CLASS_1990,KLHK_CLASS_2000,KLHK_CLASS_2012,Sveta_2001,Belinda_2000,INCAS_2000,INCAS_2012,1990 status,2000 status,2001 status,2012 status,Team
319,file:///J:/Indonesia_samples/pages_new/Irian_Jaya_sample319.html,file:///J:/Indonesia_samples/pages_new/Irian_Jaya_sample319.html,file:///J:/Indonesia_samples/pages_new/,_sample,.html,February version,Primary intact,NO_CHANGE,Irian_Jaya,Unsure,Boundary pixel between forest & stream,Non forest,HIGH,NA,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0,NA,NA,NA,Air,Zuraidah checked,NA,NA,HIGH,HIGH,No edits needed,NA,0,NA,0,NA,Agree,YES,none,1997,Zuraidah checked,0,98,NA,FOREST+NON,FOREST+NON,FOREST+NON,BUFFER,FOREST,NON,FOREST,FOREST,FOREST,FOREST,FOREST,Team_3
339,file:///J:/Indonesia_samples/pages_new/Irian_Jaya_sample339.html,file:///J:/Indonesia_samples/pages_new/Irian_Jaya_sample339.html,file:///J:/Indonesia_samples/pages_new/,_sample,.html,February version,Primary intact,NO_CHANGE,Irian_Jaya,Unsure,Boundary pixel between forest & stream,Non forest,HIGH,NA,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0,NA,NA,NA,Air,Zuraidah checked,NA,NA,HIGH,HIGH,No edits needed,NA,0,NA,0,NA,Agree,YES,none,1992,Zuraidah checked,0,89,NA,FOREST,FOREST,FOREST,BUFFER,NON,NON,NON,FOREST,FOREST,FOREST,FOREST,Team_3
440,file:///J:/Indonesia_samples/pages_new/Irian_Jaya_sample440.html,file:///J:/Indonesia_samples/pages_new/Irian_Jaya_sample440.html,file:///J:/Indonesia_samples/pages_new/,_sample,.html,February version,Primary intact,NO_CHANGE,Irian_Jaya,Recommend change,Pixel located over water,Non forest,HIGH,NA,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0,NA,NA,NA,Air,Zuraidah checked,NA,NA,HIGH,HIGH,NA,NA,0,NA,0,NA,Agree,YES,2011,1993,NA,0,98,NA,FOREST,FOREST,FOREST,FOREST,FOREST,FOREST,NON,FOREST,FOREST,FOREST,FOREST,Team_3
599,file:///J:/Indonesia_samples/pages_new/Irian_Jaya_sample599.html,file:///J:/Indonesia_samples/pages_new/Irian_Jaya_sample599.html,file:///J:/Indonesia_samples/pages_new/,_sample,.html,February version,Primary intact,NO_CHANGE,Irian_Jaya,Recommend change,Likely degraded around 1999,Primary intact,HIGH,NA,1998,1993,Degraded - Selective Logging,NA,NA,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0,NA,NA,NA,Hutan Sekunder,Anna checked,NA,NA,HIGH,HIGH,Edited entry,NA,0,NA,0,NA,Disagree - major,YES,2010,1993,Anna checked,0,98,NA,FOREST,FOREST,FOREST,BUFFER,NON,FOREST,FOREST,FOREST,FOREST,FOREST,FOREST,Team_3
655,file:///J:/Indonesia_samples/pages_new/Irian_Jaya_sample655.html,file:///J:/Indonesia_samples/pages_new/Irian_Jaya_sample655.html,file:///J:/Indonesia_samples/pages_new/,_sample,.html,February version,Primary intact,NO_CHANGE,Irian_Jaya,Recommend change,Probably degraded in 1991,Primary intact,HIGH,NA,1991,1990,Degraded - Natural disturbance,HIGH,land slide,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0,NA,NA,NA,Hutan Sekunder,Anna checked,NA,NA,HIGH,HIGH,NA,NA,0,NA,0,NA,Disagree - major,YES,none,1990,NA,0,95,NA,FOREST,UNKNOWN,NON,FOREST,FOREST,NON,NON,FOREST,FOREST,FOREST,FOREST,Team_3
673,file:///J:/Indonesia_samples/pages_new/Irian_Jaya_sample673.html,file:///J:/Indonesia_samples/pages_new/Irian_Jaya_sample673.html,file:///J:/Indonesia_samples/pages_new/,_sample,.html,February version,Primary intact,NO_CHANGE,Irian_Jaya,Unsure,Possibly primary degraded forest in 1990,Primary degraded,HIGH,NA,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0,NA,NA,NA,Hutan Sekunder,Anna checked,NA,NA,HIGH,HIGH,No edits needed,NA,0,NA,0,NA,Disagree - major,YES,none,1995,Anna checked,0,98,NA,NON,NON,NON,FOREST,FOREST,FOREST,FOREST,FOREST,FOREST,FOREST,FOREST,Team_3
789,file:///J:/Indonesia_samples/pages_new/Irian_Jaya_sample789.html,file:///J:/Indonesia_samples/pages_new/Irian_Jaya_sample789.html,file:///J:/Indonesia_samples/pages_new/,_sample,.html,February version,Primary intact,NO_CHANGE,Irian_Jaya,Unsure,Boundary pixel between forest & stream,Non forest,HIGH,NA,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0,NA,NA,NA,Air,Rizky checked,NA,NA,HIGH,HIGH,No edits needed,NA,0,NA,0,NA,Disagree - minor,YES,2009,1992,Rizky checked,0,93,NA,FOREST,NON,NON,BUFFER,FOREST,NON,FOREST,FOREST,FOREST,FOREST,FOREST,Team_3
796,file:///J:/Indonesia_samples/pages_new/Irian_Jaya_sample796.html,file:///J:/Indonesia_samples/pages_new/Irian_Jaya_sample796.html,file:///J:/Indonesia_samples/pages_new/,_sample,.html,February version,Primary intact,NO_CHANGE,Irian_Jaya,Unsure,Something happened in 1999 - possibly degraded by natural disturbance? Or by fire?,Primary intact,HIGH,NA,1999,1998,Degraded - Natural disturbance,HIGH,NA,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0,NA,NA,NA,Hutan Rawa Primer,Rizky checked,NA,NA,HIGH,HIGH,No edits needed,NA,0,NA,0,NA,Disagree - minor,YES,none,1990,Rizky checked,0,89,NA,FOREST,FOREST,FOREST,BUFFER,FOREST,FOREST,FOREST,FOREST,FOREST,FOREST,FOREST,Team_3
837,file:///J:/Indonesia_samples/pages_new/Irian_Jaya_sample837.html,file:///J:/Indonesia_samples/pages_new/Irian_Jaya_sample837.html,file:///J:/Indonesia_samples/pages_new/,_sample,.html,February version,Primary intact,NO_CHANGE,Irian_Jaya,Unsure,"Near a landslide, possibly degraded or cleared in 2016; also possibly non forest in 1990",Non forest,LOW,NA,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0,NA,NA,NA,Savana,Rizky checked,NA,puncak gunung,HIGH,HIGH,Edited entry,Mountain forest. Pretty clear through GE,0,NA,0,NA,Disagree - major,YES,none,1992,Rizky checked,0,89,2016,FOREST,FOREST,FOREST,BUFFER,FOREST,NON,NON,FOREST,FOREST,FOREST,FOREST,Team_3
855,file:///J:/Indonesia_samples/pages_new/Irian_Jaya_sample855.html,file:///J:/Indonesia_samples/pages_new/Irian_Jaya_sample855.html,file:///J:/Indonesia_samples/pages_new/,_sample,.html,February version,Primary intact,NO_CHANGE,Irian_Jaya,Unsure,"Located on a mountain peak with sparse vegetation, unclear whether pixel is forested",Non forest,HIGH,NA,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0,NA,NA,NA,Savana,Rizky checked,NA,NA,HIGH,HIGH,Edited entry,More than half pixel is within mountainous forest,0,NA,0,NA,Agree,YES,none,1991,Rizky checked,0,90,NA,FOREST,FOREST,FOREST,BUFFER,FOREST,FOREST,FOREST,FOREST,FOREST,FOREST,FOREST,Team_3
