ID,Checked,D_REVIEW_NOTES
1,NA,NA
2,NA,NA
3,NA,NA
4,NA,NA
5,NA,NA
6,NA,NA
7,Unsure,Not positive the pixel was cleared
8,NA,NA
9,NA,NA
10,Agree,NA
11,Agree,NA
12,NA,NA
13,NA,NA
14,Recommend change,Pretty sure this is still forested (possibly degraded)
15,NA,NA
16,Recommend change,Cleared in 1997 (smallholder clearing)
17,NA,NA
18,Unsure,Not sure I see the degradation event
19,Agree,NA
20,NA,NA
21,NA,NA
22,Unsure,I don't see the degradation event
23,NA,NA
24,Agree,NA
25,NA,NA
26,Agree,NA
27,NA,NA
28,NA,NA
29,NA,NA
30,NA,NA
31,Unsure,I think the pixel might have been degraded again in 1999 by selective logging (though not certain)
32,Agree,NA
33,Agree,NA
34,NA,NA
35,Agree,NA
36,Agree,NA
37,Unsure,Possible this was already non forest in the first cloud free image
38,NA,NA
39,NA,NA
40,NA,NA
41,NA,NA
42,NA,NA
43,Agree,NA
44,NA,NA
45,NA,NA
46,NA,NA
47,NA,NA
48,Agree,NA
49,Agree,NA
50,Unsure,I think this may be intact
51,NA,NA
52,NA,NA
53,NA,NA
54,NA,NA
55,NA,NA
56,Agree,NA
57,Unsure,"May have been degraded (fire?) in 2000, but I don't see any change in 2004"
58,Agree,NA
59,Agree,NA
60,NA,NA
61,NA,NA
62,NA,NA
63,NA,NA
64,NA,NA
65,NA,NA
66,NA,NA
67,NA,NA
68,NA,NA
69,NA,NA
70,Agree,NA
71,NA,NA
72,Agree,NA
73,NA,NA
74,Recommend change,I don't see degradation
75,Unsure,Not sure about 2015 clearing - either abandoned or for another form of agriculture
76,NA,NA
77,Agree,NA
78,NA,NA
79,NA,NA
80,Agree,NA
81,NA,NA
82,NA,NA
83,NA,NA
84,NA,NA
85,NA,NA
86,NA,NA
87,Agree,NA
88,Agree,NA
89,NA,NA
90,NA,NA
91,Unsure,"Not sure there was any change, I think this might just be the natural water cycle"
92,NA,NA
93,NA,NA
94,NA,NA
95,Agree,NA
96,Agree,NA
97,Agree,NA
98,NA,NA
99,NA,NA
100,Agree,NA
101,Unsure,Not sure I see the degradation event
102,Agree,NA
103,NA,NA
104,NA,NA
105,NA,NA
106,NA,NA
107,Recommend change,I don't think this pixel was changed
108,Unsure,Pixel may have been degraded by selective logging in 2010
109,NA,NA
110,NA,NA
111,NA,NA
112,NA,NA
113,NA,NA
114,Unsure,"Agree with the driver, though I think this might have just been natural seasonal drying, not actual degradation"
115,Agree,NA
116,NA,NA
117,NA,NA
118,NA,NA
119,NA,NA
120,Recommend change,"I don't see any nearby clearing in 1999, possible the pixel was degraded by fire that year, then cleared by fire in 2016"
121,NA,NA
122,Agree,NA
123,NA,NA
124,Agree,NA
125,NA,NA
126,NA,NA
127,NA,NA
128,NA,NA
129,Agree,NA
130,NA,NA
131,Agree,NA
132,NA,NA
133,NA,NA
134,NA,NA
135,NA,NA
136,NA,NA
137,Agree,NA
138,NA,NA
139,Agree,NA
140,NA,NA
141,NA,NA
142,Agree,NA
143,Agree,NA
144,Agree,NA
145,NA,NA
146,NA,NA
147,NA,NA
148,NA,NA
149,Agree,NA
150,Agree,NA
151,NA,NA
152,Agree,NA
153,NA,NA
154,NA,NA
155,NA,NA
156,NA,NA
157,NA,NA
158,Unsure,I think this might actually be a swamp forest
159,Agree,NA
160,NA,NA
161,NA,NA
162,Agree,NA
163,NA,NA
164,NA,NA
165,NA,NA
166,NA,NA
167,Agree,NA
168,Unsure,"I think this is probably cleared - settlement, not cleared smallholder"
169,NA,NA
170,NA,NA
171,Agree,NA
172,NA,NA
173,NA,NA
174,Agree,NA
175,NA,NA
176,NA,NA
177,NA,NA
178,NA,NA
179,Unsure,Not sure if the 2007 event was clearing or degradation
180,NA,NA
181,NA,NA
182,Agree,NA
183,NA,NA
184,NA,NA
185,NA,NA
186,Agree,NA
187,Agree,NA
188,Agree,NA
189,NA,NA
190,Agree,NA
191,NA,NA
192,NA,NA
193,NA,NA
194,Agree,NA
195,Agree,NA
196,NA,NA
197,NA,NA
198,Agree,NA
199,NA,NA
200,NA,NA
201,NA,NA
202,NA,NA
203,NA,NA
204,NA,NA
205,NA,NA
206,NA,NA
207,NA,NA
208,NA,NA
209,NA,NA
210,Agree,NA
211,NA,NA
212,Agree,NA
213,Unsure,Not sure I see the degradation event
214,NA,NA
215,NA,NA
216,NA,NA
217,NA,NA
218,Agree,NA
219,NA,NA
220,NA,NA
221,Unsure,I think selective logging more likely
222,Agree,NA
223,Agree,NA
224,Agree,NA
225,NA,NA
226,NA,NA
227,NA,NA
228,NA,NA
229,NA,NA
230,Agree,NA
231,NA,NA
232,Unsure,Not sure I see the degradation event
233,NA,NA
234,NA,NA
235,NA,NA
236,Agree,NA
237,Agree,NA
238,NA,NA
239,NA,NA
240,NA,NA
241,NA,NA
242,NA,NA
243,Agree,NA
244,NA,NA
245,NA,NA
246,Unsure,I think this might be forest  (either forest or shrubland)
247,Agree,NA
248,NA,NA
249,NA,NA
250,Agree,NA
251,Agree,NA
252,Agree,NA
253,Agree,NA
254,Agree,NA
255,NA,NA
256,Unsure,"Probably forest, degraded by fire in 1998"
257,Agree,NA
258,NA,NA
259,Agree,NA
260,Agree,NA
261,NA,NA
262,NA,NA
263,NA,NA
264,NA,NA
265,NA,NA
266,Unsure,Probably forest
267,NA,NA
268,Agree,NA
269,NA,NA
270,NA,NA
271,NA,NA
272,NA,NA
273,NA,NA
274,Agree,NA
275,Agree,NA
276,NA,NA
277,NA,NA
278,Agree,NA
279,NA,NA
280,Agree,NA
281,Agree,NA
282,NA,NA
283,NA,NA
284,Agree,NA
285,NA,NA
286,Agree,NA
287,Agree,NA
288,Agree,NA
289,NA,NA
290,NA,NA
291,NA,NA
292,Agree,NA
293,NA,NA
294,NA,NA
295,NA,NA
296,NA,NA
297,Agree,NA
298,NA,NA
299,Agree,NA
300,NA,NA
301,NA,NA
302,NA,NA
303,NA,NA
304,NA,NA
305,NA,NA
306,NA,NA
307,Agree,NA
308,NA,NA
309,NA,NA
310,NA,NA
311,Agree,NA
312,Unsure,"I think this might be forest, degraded (or possibly cleared?) in 1999 and 2016 by fire"
313,NA,NA
314,NA,NA
315,Agree,NA
316,Recommend change,"I think this is more likely cleared by small-scale mining, not road construction"
317,NA,NA
318,NA,NA
319,Unsure,Boundary pixel between forest & stream
320,Unsure,Could be intact
321,NA,NA
322,NA,NA
323,NA,NA
324,NA,NA
325,NA,NA
326,NA,NA
327,NA,NA
328,NA,NA
329,NA,NA
330,NA,NA
331,Agree,NA
332,NA,NA
333,NA,NA
334,NA,NA
335,NA,NA
336,NA,NA
337,NA,NA
338,Agree,NA
339,Unsure,Boundary pixel between forest & stream
340,NA,NA
341,NA,NA
342,Agree,NA
343,NA,NA
344,NA,NA
345,NA,NA
346,NA,NA
347,NA,NA
348,NA,NA
349,NA,NA
350,NA,NA
351,Agree,NA
352,Agree,NA
353,NA,NA
354,NA,NA
355,Unsure,I think the pixel was actually forested
356,Unsure,"Not sure this was degraded forest in 1990, might have been intact forest"
357,NA,NA
358,Agree,NA
359,NA,NA
360,NA,NA
361,NA,NA
362,NA,NA
363,NA,NA
364,NA,NA
365,NA,NA
366,Unsure,"Boundary pixel, but probably +50% forest"
367,NA,NA
368,NA,NA
369,NA,NA
370,NA,NA
371,NA,NA
372,Agree,NA
373,NA,NA
374,NA,NA
375,Unsure,I think this might have been selective logging
376,Agree,NA
377,NA,NA
378,NA,NA
379,NA,NA
380,NA,NA
381,NA,NA
382,NA,NA
383,Unsure,More likely selective logging
384,Agree,NA
385,NA,NA
386,Agree,NA
387,NA,NA
388,Agree,NA
389,NA,NA
390,Agree,NA
391,NA,NA
392,NA,NA
393,NA,NA
394,NA,NA
395,Agree,NA
396,NA,NA
397,NA,NA
398,Agree,NA
399,NA,NA
400,Agree,NA
401,Agree,NA
402,NA,NA
403,Agree,NA
404,NA,NA
405,Agree,NA
406,Agree,NA
407,NA,NA
408,NA,NA
409,NA,NA
410,Agree,NA
411,Agree,NA
412,Agree,NA
413,Agree,NA
414,Agree,NA
415,NA,NA
416,NA,NA
417,NA,NA
418,NA,NA
419,NA,NA
420,NA,NA
421,NA,NA
422,NA,NA
423,Agree,NA
424,NA,NA
425,NA,NA
426,Agree,NA
427,Agree,NA
428,Agree,NA
429,NA,NA
430,NA,NA
431,NA,NA
432,Agree,NA
433,Unsure,"I think this pixel was probably just degraded (selective logging), or possibly cleared abandoned"
434,Agree,NA
435,NA,NA
436,Agree,NA
437,NA,NA
438,Agree,NA
439,NA,NA
440,Recommend change,Pixel located over water
441,NA,NA
442,NA,NA
443,NA,NA
444,NA,NA
445,NA,NA
446,NA,NA
447,NA,NA
448,NA,NA
449,Agree,NA
450,Agree,NA
451,Agree,NA
452,Unsure,Might have been nearby clearing
453,NA,NA
454,NA,NA
455,NA,NA
456,Agree,NA
457,NA,NA
458,Agree,NA
459,NA,NA
460,NA,NA
461,NA,NA
462,Agree,NA
463,NA,NA
464,Agree,NA
465,Agree,NA
466,Agree,NA
467,NA,NA
468,NA,NA
469,NA,NA
470,Agree,NA
471,NA,NA
472,Agree,NA
473,NA,NA
474,NA,NA
475,Agree,NA
476,Agree,NA
477,Agree,NA
478,Agree,NA
479,NA,NA
480,NA,NA
481,NA,NA
482,Recommend change,"Intact, no change"
483,Agree,NA
484,Agree,NA
485,Agree,NA
486,Unsure,I think the pixel was probably just degraded
487,NA,NA
488,Agree,NA
489,NA,NA
490,NA,NA
491,Unsure,I think this was nearby clearing
492,NA,NA
493,Agree,NA
494,Agree,NA
495,Unsure,"Boundary pixel, might have been +50% forested (though it would have been degraded)"
496,NA,NA
497,NA,NA
498,Agree,NA
499,Recommend change,I don't think the clearing reached the white circle
500,NA,NA
501,Agree,NA
502,NA,NA
503,NA,NA
504,NA,NA
505,NA,NA
506,NA,NA
507,Agree,NA
508,NA,NA
509,NA,NA
510,Agree,NA
511,Agree,NA
512,NA,NA
513,NA,NA
514,NA,NA
515,Agree,NA
516,Recommend change,Cleared fire in 2016; not positive I see the 2002 degradation event (possibly degraded forest from 1990?)
517,Unsure,I think selective logging more likely
518,NA,NA
519,Agree,NA
520,NA,NA
521,NA,NA
522,NA,NA
523,Agree,NA
524,NA,NA
525,NA,NA
526,NA,NA
527,NA,NA
528,NA,NA
529,Agree,NA
530,NA,NA
531,NA,NA
532,NA,NA
533,Agree,NA
534,Agree,NA
535,NA,NA
536,Unsure,Probably intact?
537,NA,NA
538,NA,NA
539,NA,NA
540,Agree,NA
541,NA,NA
542,Recommend change,Nearby clearing each time
543,Recommend change,"I think the area was just waterlogged in 2016 (part of the natural water cycle, or maybe degraded natural disturbance)"
544,Agree,NA
545,NA,NA
546,Agree,NA
547,NA,NA
548,NA,NA
549,Agree,NA
550,Unsure,Not sure I see the degradation event
551,NA,NA
552,NA,NA
553,Agree,NA
554,Recommend change,"I don't think the pixel was actually cleared, possibly degraded, though not sure about that either"
555,NA,NA
556,Agree,NA
557,NA,NA
558,NA,NA
559,Unsure,Might have been forested
560,Agree,NA
561,Agree,NA
562,Recommend change,I don't see the 2010 clearing; agree with 2016 smallholder clearing;  pixel might have been cleared for smallholder land use in 2014
563,Unsure,"I think this was probably forested, possibly degraded by fire in 2016"
564,NA,NA
565,NA,NA
566,NA,NA
567,NA,NA
568,NA,NA
569,Unsure,Probably intact?
570,NA,NA
571,NA,NA
572,NA,NA
573,NA,NA
574,Agree,NA
575,NA,NA
576,Unsure,I don't see the degradation event
577,NA,NA
578,NA,NA
579,NA,NA
580,NA,NA
581,NA,NA
582,NA,NA
583,NA,NA
584,NA,NA
585,Recommend change,"Pixel not visible in 2004, not sure the pixel was degraded, but if so it should be 2006, not 2004"
586,NA,NA
587,NA,NA
588,Agree,NA
589,NA,NA
590,Agree,NA
591,NA,NA
592,NA,NA
593,Agree,NA
594,NA,NA
595,NA,NA
596,NA,NA
597,NA,NA
598,NA,NA
599,Recommend change,Likely degraded around 1999
600,NA,NA
601,NA,NA
602,NA,NA
603,Agree,NA
604,Agree,NA
605,Agree,NA
606,NA,NA
607,NA,NA
608,NA,NA
609,NA,NA
610,NA,NA
611,NA,NA
612,NA,NA
613,NA,NA
614,NA,NA
615,Agree,NA
616,NA,NA
617,Recommend change,I think this was more likely  intact forest in 1990
618,NA,NA
619,NA,NA
620,NA,NA
621,Agree,NA
622,NA,NA
623,Agree,NA
624,NA,NA
625,NA,NA
626,NA,NA
627,NA,NA
628,NA,NA
629,Agree,NA
630,NA,NA
631,Agree,NA
632,Agree,NA
633,NA,NA
634,NA,NA
635,NA,NA
636,NA,NA
637,Agree,NA
638,Agree,NA
639,NA,NA
640,Agree,NA
641,Unsure,Not positive the pixel was ever cleared
642,NA,NA
643,Unsure,I don't see the 2005 clearing
644,Agree,NA
645,NA,NA
646,NA,NA
647,NA,NA
648,NA,NA
649,NA,NA
650,NA,NA
651,Agree,NA
652,Agree,NA
653,Agree,NA
654,NA,NA
655,Recommend change,Probably degraded in 1991
656,NA,NA
657,Agree,NA
658,NA,NA
659,NA,NA
660,NA,NA
661,Agree,NA
662,NA,NA
663,NA,NA
664,NA,NA
665,NA,NA
666,NA,NA
667,NA,NA
668,NA,NA
669,NA,NA
670,NA,NA
671,NA,NA
672,NA,NA
673,Unsure,Possibly primary degraded forest in 1990
674,NA,NA
675,NA,NA
676,NA,NA
677,Agree,NA
678,NA,NA
679,NA,NA
680,Agree,NA
681,NA,NA
682,NA,NA
683,NA,NA
684,NA,NA
685,NA,NA
686,NA,NA
687,NA,NA
688,NA,NA
689,Agree,NA
690,Agree,NA
691,Agree,NA
692,NA,NA
693,NA,NA
694,Recommend change,"Intact, no change"
695,NA,NA
696,NA,NA
697,Agree,NA
698,NA,NA
699,Agree,NA
700,Agree,NA
701,NA,NA
702,NA,NA
703,Agree,NA
704,NA,NA
705,NA,NA
706,Agree,NA
707,NA,NA
708,Unsure,"This was probably cleared from mine tailings from Freeport, not sure if abandoned is the right category"
709,Agree,NA
710,Agree,NA
711,NA,NA
712,NA,NA
713,NA,NA
714,NA,NA
715,Unsure,Could be intact
716,NA,NA
717,NA,NA
718,NA,NA
719,NA,NA
720,NA,NA
721,Agree,NA
722,Recommend change,Selective logging both times
723,NA,NA
724,NA,NA
725,NA,NA
726,NA,NA
727,Agree,NA
728,Unsure,Might have been forested
729,Agree,NA
730,NA,NA
731,NA,NA
732,NA,NA
733,NA,NA
734,NA,NA
735,Agree,NA
736,NA,NA
737,NA,NA
738,NA,NA
739,Agree,NA
740,NA,NA
741,NA,NA
742,NA,NA
743,Recommend change,"Intact, no change"
744,Agree,NA
745,NA,NA
746,NA,NA
747,NA,NA
748,NA,NA
749,NA,NA
750,NA,NA
751,Agree,NA
752,Agree,NA
753,NA,NA
754,Recommend change,"Pixel not visible in 1999, so we don't know if it was degraded by nearby clearing or just cleared directly - just need to list 2000 event; also, based on SPOT image, looks like the 2000 clearing was cleared - abandoned (no planted palms visible 10+ years after clearing event)"
755,NA,NA
756,Agree,NA
757,NA,NA
758,NA,NA
759,NA,NA
760,NA,NA
761,Agree,NA
762,NA,NA
763,NA,NA
764,NA,NA
765,NA,NA
766,Agree,NA
767,NA,NA
768,NA,NA
769,NA,NA
770,NA,NA
771,NA,NA
772,Agree,NA
773,Agree,NA
774,NA,NA
775,Agree,NA
776,NA,NA
777,NA,NA
778,NA,NA
779,Agree,NA
780,NA,NA
781,NA,NA
782,Agree,NA
783,NA,NA
784,NA,NA
785,NA,NA
786,Agree,NA
787,NA,NA
788,Agree,NA
789,Unsure,Boundary pixel between forest & stream
790,Agree,NA
791,NA,NA
792,NA,NA
793,NA,NA
794,Agree,NA
795,NA,NA
796,Unsure,Something happened in 1999 - possibly degraded by natural disturbance? Or by fire?
797,NA,NA
798,Agree,NA
799,NA,NA
800,NA,NA
801,NA,NA
802,NA,NA
803,Agree,NA
804,NA,NA
805,NA,NA
806,NA,NA
807,Agree,NA
808,NA,NA
809,Agree,NA
810,NA,NA
811,Recommend change,I think this pixel was just degraded in 2002 (selective logging)
812,NA,NA
813,NA,NA
814,Agree,NA
815,Agree,NA
816,NA,NA
817,NA,NA
818,NA,NA
819,Agree,NA
820,NA,NA
821,NA,NA
822,NA,NA
823,NA,NA
824,NA,NA
825,Agree,NA
826,NA,NA
827,Agree,NA
828,NA,NA
829,Agree,NA
830,NA,NA
831,NA,NA
832,NA,NA
833,Agree,NA
834,NA,NA
835,Unsure,Not sure I see either degradation event
836,NA,NA
837,Unsure,"Near a landslide, possibly degraded or cleared in 2016; also possibly non forest in 1990"
838,NA,NA
839,NA,NA
840,NA,NA
841,NA,NA
842,NA,NA
843,NA,NA
844,NA,NA
845,Agree,NA
846,Agree,NA
847,NA,NA
848,NA,NA
849,NA,NA
850,NA,NA
851,NA,NA
852,NA,NA
853,Recommend change,I think this is probably forested
854,Agree,NA
855,Unsure,"Located on a mountain peak with sparse vegetation, unclear whether pixel is forested"
856,Agree,NA
857,NA,NA
858,Agree,NA
859,NA,NA
860,Agree,NA
861,Agree,NA
862,NA,NA
863,NA,NA
864,NA,NA
865,Agree,NA
866,Agree,NA
867,Agree,NA
868,NA,NA
869,NA,NA
870,Unsure,Possibly intact
871,Agree,NA
872,NA,NA
873,Recommend change,Intact forest
874,NA,NA
875,NA,NA
876,NA,NA
877,NA,NA
878,Agree,NA
879,Agree,NA
880,NA,NA
881,NA,NA
882,NA,NA
883,NA,NA
884,NA,NA
885,NA,NA
886,NA,NA
887,Agree,NA
888,Agree,NA
889,Agree,NA
890,Agree,NA
891,Agree,NA
892,NA,NA
893,Unsure,Possible the pixel was forested?
894,Agree,NA
895,NA,NA
896,NA,NA
897,Unsure,Pixel might have been forested
898,NA,NA
899,NA,NA
900,NA,NA
901,NA,NA
902,NA,NA
903,NA,NA
904,NA,NA
905,NA,NA
906,NA,NA
907,NA,NA
908,NA,NA
909,Agree,NA
910,NA,NA
911,Agree,NA
912,NA,NA
913,NA,NA
914,Agree,NA
915,NA,NA
916,Agree,NA
917,Agree,NA
918,Agree,NA
919,NA,NA
920,Agree,NA
921,NA,NA
922,NA,NA
923,Agree,NA
924,NA,NA
925,NA,NA
926,NA,NA
927,NA,NA
928,NA,NA
929,NA,NA
930,Agree,NA
931,Agree,NA
932,Agree,NA
933,Unsure,"Agree with change event, but not certain the pixel was forested in 1990 (could be a non-forested wetland)"
934,Agree,NA
935,NA,NA
936,Agree,NA
937,NA,NA
938,Agree,NA
939,Agree,NA
940,Agree,NA
941,Agree,NA
942,Unsure,Could be either forest or shrubland
943,Agree,NA
944,Agree,NA
945,NA,NA
946,NA,NA
947,Agree,NA
948,Agree,NA
949,Agree,NA
950,Unsure,Not sure I see any degradation event
951,NA,NA
952,Recommend change,"Agree with 2013 event, if there was degradation in 1998, it was selective logging"
953,Agree,NA
954,NA,NA
955,NA,NA
956,NA,NA
957,Agree,NA
958,NA,NA
959,NA,NA
960,NA,NA
961,NA,NA
962,NA,NA
963,NA,NA
964,Unsure,Possible the pixel was degraded by selective logging in 2000
965,NA,NA
966,NA,NA
967,Agree,NA
968,NA,NA
969,NA,NA
970,Agree,NA
971,NA,NA
972,NA,NA
973,NA,NA
974,Agree,NA
975,Agree,NA
976,Agree,NA
977,NA,NA
978,NA,NA
979,Agree,NA
980,Agree,NA
981,Agree,NA
982,NA,NA
983,NA,NA
984,NA,NA
985,Agree,NA
986,NA,NA
987,Agree,NA
988,NA,NA
989,NA,NA
990,Agree,NA
991,Agree,NA
992,NA,NA
993,Agree,NA
994,Agree,NA
995,NA,NA
996,Agree,NA
997,NA,NA
998,NA,NA
999,NA,NA
1000,Agree,NA
1001,NA,NA
1002,NA,NA
1003,Recommend change,"Part of a large scale estate, but it hasn't been planted as of 2016, so should probably be classified as cleared - abandoned"
1004,Recommend change,More likely degraded fire
1005,NA,NA
1006,NA,NA
1007,NA,NA
1008,NA,NA
1009,NA,NA
1010,Agree,NA
1011,Agree,NA
1012,Agree,NA
1013,Recommend change,Second selective logging event not visible until 2010
1014,Agree,NA
1015,NA,NA
1016,NA,NA
1017,NA,NA
1018,NA,NA
1019,NA,NA
1020,NA,NA
1021,NA,NA
1022,Recommend change,More likely selective logging
1023,Unsure,Possible this was already a shifting cultivation area in 1990
1024,Agree,NA
1025,Agree,NA
1026,NA,NA
1027,NA,NA
1028,NA,NA
1029,NA,NA
1030,NA,NA
1031,NA,NA
1032,NA,NA
1033,NA,NA
1034,NA,NA
1035,NA,NA
1036,NA,NA
1037,NA,NA
1038,NA,NA
1039,NA,NA
1040,NA,NA
1041,NA,NA
1042,Agree,NA
1043,Unsure,Possibly forested?
1044,Agree,NA
1045,NA,NA
1046,NA,NA
1047,NA,NA
1048,Agree,NA
1049,Agree,NA
